id,question,a,b,c,d,answer,level
20,What is the formula for calculating acceleration?,a = v / t,a = d / t,a = (v_f - v_i) / t,a = F / m,c,easy
21,"Which of the following represents the correct relationship between velocity, time, and displacement?",v = s / t,s = v / t,t = s / v,s = v * t,d,easy
22,What is the formula for calculating force?,F = m * v,F = m * g * h,F = m * v^2 / 2,F = m * v / t,d,easy
23,What is the formula for calculating momentum?,p = m * v,p = F,p = m * v^2 / 2,p = F / t,a,easy
24,What is the formula for calculating kinetic energy?,KE = m * v^2 / 2,KE = m * g * h,KE = m * h,KE = p,a,easy
25,What is the formula for calculating gravitational potential energy?,PE = m * v,PE = m * g * h,PE = m * v^2 / 2,PE = m * v / t,b,easy
26,What is the formula for calculating work done?,W = F * d,W = F / d,W = F * v,W = m * v^2 / 2,a,easy
27,What is the formula for calculating power?,P = W / t,P = F * d,P = F / d,P = m * v^2 / 2,a,easy
28,"Which of the following represents the correct relationship between force, mass, and acceleration?",F = m * a,F = m / a,F = m + a,F = a / m,a,easy
29,What is the formula for calculating displacement?,s = v * t,s = 1/2 * a * t^2,s = (v_i + v_f) / 2 * t,s = v_i * t + 1/2 * a * t^2,d,easy
30,What is the formula for calculating velocity?,v = s / t,v = a * t,v = s * t,v = F / m,a,easy
31,What is the formula for calculating acceleration?,a = v / t,a = d / t,a = (v_f - v_i) / t,a = F / m,c,easy
32,"Which of the following represents the correct relationship between velocity, time, and displacement?",v = s / t,s = v / t,t = s / v,s = v * t,d,easy
33,What is the formula for calculating force?,F = m * v,F = m * g * h,F = m * v^2 / 2,F = m * v / t,d,easy
34,What is the formula for calculating momentum?,p = m * v,p = F,p = m * v^2 / 2,p = F / t,a,easy
35,What is the formula for calculating kinetic energy?,KE = m * v^2 / 2,KE = m * g * h,KE = m * h,KE = p,a,easy
36,What is the formula for calculating gravitational potential energy?,PE = m * v,PE = m * g * h,PE = m * v^2 / 2,PE = m * v / t,b,easy
37,What is the formula for calculating work done?,W = F * d,W = F / d,W = F * v,W = m * v^2 / 2,a,easy
38,What is the formula for calculating power?,P = W / t,P = F * d,P = F / d,P = m * v^2 / 2,a,easy
39,"Which of the following represents the correct relationship between force, mass, and acceleration?",F = m * a,F = m / a,F = m + a,F = a / m,a,easy
40,"Which of the following represents the correct relationship between force, mass, and acceleration?",F = m * a,F = m / a,F = m + a,F = a / m,a,easy
41,What is the formula for calculating work done?,W = F * d,W = F / d,W = F * v,W = m * v^2 / 2,a,easy
42,What is the formula for calculating power?,P = W / t,P = F * d,P = F / d,P = m * v^2 / 2,a,easy
43,"Which of the following represents the correct relationship between velocity, time, and displacement?",v = s / t,s = v / t,t = s / v,s = v * t,d,easy
44,What is the formula for calculating force?,F = m * v,F = m * g * h,F = m * v^2 / 2,F = m * v / t,d,easy
45,What is the formula for calculating momentum?,p = m * v,p = F,p = m * v^2 / 2,p = F / t,a,easy
46,Which of the following is a scalar quantity?,Velocity,Force,Distance,Acceleration,c,easy
47,What does Newton's first law of motion state?,An object in motion stays in motion unless acted upon by an external force,Force equals mass times acceleration,"For every action, there is an equal and opposite reaction",The velocity of an object remains constant unless a net force acts on it,d,easy
48,What is inertia?,The resistance of an object to a change in its state of motion,The force exerted by an object,The tendency of an object to accelerate,The measure of an object's mass,a,easy
49,Which of the following is an example of projectile motion?,A car moving along a straight road,A ball thrown into the air,A pendulum swinging back and forth,A boat sailing on a river,b,easy
50,What is the relationship between force and acceleration according to Newton's second law?,Force is directly proportional to acceleration,Force is inversely proportional to acceleration,Force and acceleration are unrelated,Force equals mass times velocity,a,easy
51,"What is meant by the term ""net force""?",The force exerted by an object in motion,The sum of all forces acting on an object,The force required to keep an object at rest,The force exerted by gravity,b,easy
52,Which of the following best describes Newton's third law of motion?,An object in motion tends to stay in motion unless acted upon by an external force,Force equals mass times acceleration,"For every action, there is an equal and opposite reaction",The velocity of an object remains constant unless a net force acts on it,c,easy
53,What is the relationship between mass and inertia?,They are directly proportional,They are inversely proportional,They are unrelated,Mass is a measure of volume,a,easy
54,What causes an object to accelerate?,The force exerted on it,The object's mass,The object's inertia,The object's velocity,a,easy
55,What is the difference between mass and weight?,"Mass is a measure of the amount of matter in an object, while weight is the force exerted on an object due to gravity",Mass and weight are the same thing,"Mass is a measure of volume, while weight is a measure of density","Mass is a measure of force, while weight is a measure of inertia",a,easy
56,Which of the following is a vector quantity?,Distance,Speed,Displacement,Mass,c,medium
57,What is the SI unit of force?,Newton (N),Watt (W),Joule (J),Kilogram (kg),a,medium
58,What is the acceleration of an object if it moves with a constant velocity?,0 m/s^2,9.8 m/s^2,Depends on the mass of the object,Cannot be determined,a,medium
59,What does Newton's second law of motion state?,An object at rest tends to stay at rest and an object in motion tends to stay in motion with the same speed and in the same direction unless acted upon by an external force.,Force equals mass times acceleration.,"For every action, there is an equal and opposite reaction.",The velocity of an object remains constant unless a net force acts on it.,b,medium
60,Which of the following is a correct statement regarding friction?,Friction always opposes the motion of an object.,Friction is independent of the nature of surfaces in contact.,Friction depends only on the weight of the object.,Friction is always present in a vacuum.,a,medium
61,Which of the following is true according to the law of conservation of momentum?,The total momentum of a system after a collision is always greater than the total momentum before the collision.,The total momentum of a system after a collision is always less than the total momentum before the collision.,The total momentum of a system after a collision is always equal to the total momentum before the collision.,Momentum is not conserved in collisions.,c,medium
62,What is the relationship between impulse and change in momentum?,Impulse is equal to the change in momentum.,Impulse is greater than the change in momentum.,Impulse is less than the change in momentum.,Impulse is equal to the initial momentum.,a,medium
63,"Which of the following represents the correct relationship between work done, force, and displacement?",Work done is directly proportional to force and displacement.,Work done is inversely proportional to force and displacement.,Work done is directly proportional to force and inversely proportional to displacement.,Work done is directly proportional to displacement and inversely proportional to force.,c,medium
64,What is the unit of work and energy?,Joule (J),Newton (N),Watt (W),Pascal (Pa),a,medium
65,Which of the following is a conservative force?,Frictional force,Spring force,Air resistance force,Normal force,b,medium
66,What is the law of conservation of energy?,Energy can neither be created nor destroyed; it can only be transformed from one form to another.,Energy is conserved only in mechanical systems.,Total energy in a system increases with time.,Total energy in a system decreases with time.,a,medium
67,What is potential energy?,The energy an object possesses due to its motion.,The energy an object possesses due to its position or configuration.,The energy an object possesses due to its temperature.,The energy an object possesses due to its shape.,b,medium
68,Which of the following statements regarding potential energy is correct?,Potential energy is directly proportional to the mass of the object.,Potential energy depends on the velocity of the object.,Gravitational potential energy depends on the height of the object.,Potential energy is a scalar quantity.,c,medium
69,What is the work-energy theorem?,The work done on an object is equal to the change in its potential energy.,The net work done on an object is equal to the change in its kinetic energy.,The work done on an object is equal to its velocity.,The work done on an object is equal to its acceleration.,b,medium
70,"What is meant by the term ""equilibrium"" in mechanics?",The state of an object when it is at rest.,The state of an object when it is moving at constant velocity.,The state of an object when the net force acting on it is zero.,The state of an object when it is experiencing friction.,c,medium
71,What is the relationship between mass and inertia?,They are directly proportional.,They are inversely proportional.,They are unrelated.,Inertia is a measure of volume.,a,medium
72,What is the difference between mass and weight?,"Mass is a measure of the amount of matter in an object, while weight is the force exerted on an object due to gravity.",Mass and weight are the same thing.,"Mass is a measure of volume, while weight is a measure of density.","Mass is a measure of force, while weight is a measure of inertia.",a,medium
73,"Which of the following represents the correct relationship between force, mass, and acceleration?",Force = Mass נAcceleration,Force = Mass / Acceleration,Force = Mass + Acceleration,Force = Acceleration / Mass,a,medium
74,"What is meant by the term ""momentum""?",The tendency of an object to resist changes in its motion.,The force exerted by an object.,The product of an object's mass and velocity.,The product of an object's mass and acceleration.,c,medium
75,What is the law of conservation of momentum?,Momentum is always conserved in collisions.,Momentum is never conserved in collisions.,Momentum is conserved only in perfectly elastic collisions.,Momentum is conserved only in perfectly inelastic collisions.,a,medium
76,What is impulse?,The change in velocity of an object.,The area under the force-time graph.,The force applied to an object.,The time taken for an object to change its momentum.,b,medium
77,"What is meant by ""elastic collision""?",A collision in which kinetic energy is conserved.,A collision in which kinetic energy is not conserved.,A collision in which momentum is conserved.,A collision in which momentum is not conserved.,a,medium
78,"What is meant by ""inelastic collision""?",A collision in which kinetic energy is conserved.,A collision in which kinetic energy is not conserved.,A collision in which momentum is conserved.,A collision in which momentum is not conserved.,b,medium
79,What is the difference between velocity and speed?,"Velocity is a scalar quantity, while speed is a vector quantity.","Velocity is the rate of change of displacement, while speed is the rate of change of distance.","Velocity includes direction, while speed does not.","Velocity is always positive, while speed can be negative.",c,medium
80,"What is meant by ""uniform circular motion""?",Motion along a straight line with constant velocity.,Motion along a curved path with constant speed.,Motion along a straight line with changing velocity.,Motion along a curved path with changing speed.,b,medium
81,What is centripetal force?,The force exerted by an object in motion.,The force exerted by an object at rest.,The force that causes an object to move in a circular path.,The force that causes an object to move in a straight line.,c,medium
82,What is the relationship between centripetal force and centripetal acceleration?,They are directly proportional.,They are inversely proportional.,They are equal in magnitude.,They are unrelated.,c,medium
83,What is the direction of centripetal force acting on an object moving in a circular path?,In the direction of motion,Opposite to the direction of motion,Tangential to the circular path,Towards the center of the circular path,d,medium
84,What is angular velocity?,The speed of an object in circular motion,The change in angular displacement per unit time,The distance traveled by an object in circular motion,The rate of change of angular displacement,d,medium
85,What is the angular acceleration of an object in circular motion if its angular velocity is increasing?,Positive,Negative,Zero,Cannot be determined,a,medium
86,What is torque?,The force applied to an object,The rate of change of velocity,The product of force and distance from the axis of rotation,The resistance of an object to changes in its state of motion,c,medium
87,What is rotational inertia?,The tendency of an object to resist changes in its state of rotation,The force applied to an object,The rate of change of angular displacement,The rate of change of velocity,a,medium
88,What is the relationship between torque and rotational inertia?,They are directly proportional.,They are inversely proportional.,They are unrelated.,"Torque depends on angular velocity, not rotational inertia.",a,medium
89,What is the condition for rotational equilibrium?,The net torque acting on the object is zero.,The net force acting on the object is zero.,The object is at rest.,The object is moving with constant velocity.,a,medium
90,What is angular momentum?,The product of an object's mass and velocity,The product of an object's mass and acceleration,The product of an object's rotational inertia and angular velocity,The product of an object's torque and rotational inertia,c,medium
91,What is the conservation of angular momentum?,Angular momentum is always conserved in rotational motion.,Angular momentum is never conserved in rotational motion.,Angular momentum is conserved only in linear motion.,Angular momentum is conserved only in circular motion.,a,medium
92,What is simple harmonic motion?,Motion along a straight line with constant acceleration,Motion along a straight line with variable acceleration,Motion along a curved path with constant velocity,Motion along a curved path with variable velocity,a,medium
93,What is the restoring force in simple harmonic motion?,The force that causes the motion to stop,The force that maintains the motion,The force that opposes the motion and brings the object back to its equilibrium position,The force that increases the amplitude of motion,c,medium
94,What is the period of a pendulum?,The time taken for one complete oscillation,The maximum displacement of the pendulum,The frequency of the pendulum's motion,The amplitude of the pendulum's motion,a,medium
95,What is resonance?,The tendency of an object to vibrate at its natural frequency,The tendency of an object to resist vibration,The frequency of an object's vibration,The amplitude of an object's vibration,a,medium
96,What is the Doppler effect?,The change in frequency of a wave as the source of the wave moves relative to an observer,The change in speed of a wave as it travels through different mediums,The change in wavelength of a wave as it passes through a medium,The change in amplitude of a wave as it reflects off a surface,a,medium
97,What is the difference between transverse and longitudinal waves?,"In transverse waves, the particles of the medium vibrate perpendicular to the direction of wave propagation, while in longitudinal waves, the particles vibrate parallel to the direction of wave propagation.","In transverse waves, the particles of the medium vibrate parallel to the direction of wave propagation, while in longitudinal waves, the particles vibrate perpendicular to the direction of wave propagation.","Transverse waves cannot propagate through solids, while longitudinal waves can.",Longitudinal waves have higher frequency than transverse waves.,a,medium
98,What is sound?,A longitudinal wave caused by vibrations that travel through a medium,A transverse wave caused by vibrations that travel through a medium,A longitudinal wave caused by vibrations that travel through a vacuum,A transverse wave caused by vibrations that travel through a vacuum,a,medium
99,What is the speed of sound in air at room temperature?,Approximately 343 meters per second,Approximately 1500 meters per second,"Approximately 300,000 kilometers per second",Approximately 300 meters per second,a,medium
100,What is the relationship between frequency and wavelength of a wave?,They are inversely proportional.,They are directly proportional.,They are unrelated.,The relationship depends on the medium through which the wave travels.,a,medium
101,What is the principle of superposition in wave mechanics?,The principle stating that waves cannot overlap in a medium.,"The principle stating that when two or more waves meet at a point, the displacement of the medium at that point is the sum of the displacements due to each individual wave.",The principle stating that waves can only travel in one direction.,The principle stating that waves lose energy as they propagate through a medium.,b,medium
102,What is resonance in the context of waves?,The amplification of sound waves in an enclosed space.,"The phenomenon where the natural frequency of an object matches the frequency of an external force, leading to increased amplitude of vibrations.",The absorption of light waves by a material.,The interference pattern created when waves pass through a narrow slit.,b,medium
103,What is the difference between constructive and destructive interference?,"Constructive interference occurs when waves add up to form a larger amplitude, while destructive interference occurs when waves cancel each other out.","Constructive interference occurs only with transverse waves, while destructive interference occurs only with longitudinal waves.","Constructive interference occurs when waves cancel each other out, while destructive interference occurs when waves add up to form a larger amplitude.","Constructive interference occurs only with longitudinal waves, while destructive interference occurs only with transverse waves.",a,medium
104,What is the phenomenon of beats in wave mechanics?,The alternating pattern of constructive and destructive interference.,The interference pattern created when waves pass through a narrow slit.,"The interference between two sound waves of slightly different frequencies, resulting in a periodic variation in loudness.",The phenomenon where the frequency of a wave changes as it passes from one medium to another.,c,medium
105,What is the difference between a longitudinal wave and a transverse wave?,"In a longitudinal wave, the particles of the medium vibrate perpendicular to the direction of wave propagation, while in a transverse wave, the particles vibrate parallel to the direction of wave propagation.","In a longitudinal wave, the particles of the medium vibrate parallel to the direction of wave propagation, while in a transverse wave, the particles vibrate perpendicular to the direction of wave propagation.","Longitudinal waves cannot propagate through solids, while transverse waves can.",Transverse waves have higher frequency than longitudinal waves.,b,medium
106,What is the definition of impulse in mechanics?,The change in velocity of an object over time.,The force exerted on an object.,The time taken for an object to change its momentum.,The area under the force-time graph.,c,hard
107,In which scenario would an object experience the greatest acceleration?,An object with a mass of 1 kg experiencing a force of 1 N.,An object with a mass of 10 kg experiencing a force of 1 N.,An object with a mass of 1 kg experiencing a force of 10 N.,An object with a mass of 10 kg experiencing a force of 10 N.,c,hard
108,What is the difference between velocity and speed?,"Velocity is a measure of the rate of change of position with respect to time, while speed is the distance traveled per unit time.","Velocity is a scalar quantity, while speed is a vector quantity.","Velocity is always positive, while speed can be negative.","Velocity includes direction, while speed does not.",d,hard
109,"What is meant by the term ""terminal velocity""?",The maximum velocity an object can achieve in free fall.,The velocity of an object at rest.,The velocity of an object moving with constant acceleration.,The velocity of an object in fluid medium when the drag force equals the gravitational force.,d,hard
110,How does the coefficient of restitution relate to the elasticity of a collision?,A higher coefficient of restitution indicates a more elastic collision.,A lower coefficient of restitution indicates a more elastic collision.,The coefficient of restitution is unrelated to the elasticity of a collision.,The coefficient of restitution measures the force applied during a collision.,a,hard
111,What is the definition of impulse in mechanics?,The change in velocity of an object,The area under the force-time graph,The force applied to an object,The time taken for an object to change its momentum,b,hard
112,Which of the following is an example of static equilibrium?,A car moving at a constant speed on a straight road,A book resting on a table,A pendulum swinging back and forth,A ball rolling down a hill,b,hard
113,What is the principle of conservation of angular momentum?,Angular momentum is always conserved in rotational motion,Angular momentum is never conserved in rotational motion,Angular momentum is conserved only in linear motion,Angular momentum is conserved only in circular motion,a,hard
114,What is the difference between elastic and plastic deformation?,"Elastic deformation is permanent, while plastic deformation is temporary","Elastic deformation is temporary, while plastic deformation is permanent","Elastic deformation occurs only in solids, while plastic deformation occurs in liquids",There is no difference between elastic and plastic deformation,b,hard
115,What is the principle of virtual work in mechanics?,The principle stating that the net work done by external forces on a system is equal to the change in its kinetic energy,The principle stating that the net work done by internal forces on a system is equal to the change in its potential energy,The principle stating that the work done by external forces is equal to the work done by internal forces,The principle stating that the virtual displacement of a system is always zero,d,hard
116,"What is meant by the term ""moment of inertia""?",The tendency of an object to resist changes in its state of motion,The force required to rotate an object,The resistance of an object to changes in its rotational motion,The distribution of mass around an axis of rotation,d,hard
117,What is the principle of action and reaction in mechanics?,The principle stating that every action has an equal and opposite reaction,The principle stating that the net force acting on an object is equal to the rate of change of its momentum,The principle stating that the total energy of a system remains constant over time,The principle stating that the force exerted by an object is equal to the product of its mass and acceleration,a,hard
118,"What is meant by ""terminal velocity""?",The maximum velocity an object can reach when falling through a fluid,The velocity of an object at rest,The velocity of an object moving at constant speed,The velocity of an object in free fall,a,hard
119,What is the difference between velocity and speed?,"Velocity is a scalar quantity, while speed is a vector quantity","Velocity is the rate of change of displacement, while speed is the rate of change of distance","Velocity includes direction, while speed does not","Velocity is always positive, while speed can be negative",c,hard
120,"What is meant by ""center of mass""?",The point where the mass of an object is concentrated,The point where the net force on an object is zero,The point where the velocity of an object is zero,The point where the acceleration of an object is zero,a,hard
121,What is the difference between linear momentum and angular momentum?,"Linear momentum is the product of an object's mass and velocity, while angular momentum is the product of an object's moment of inertia and angular velocity","Linear momentum is conserved only in linear motion, while angular momentum is conserved only in circular motion","Linear momentum is a scalar quantity, while angular momentum is a vector quantity",There is no difference between linear momentum and angular momentum,a,hard
122,"What is meant by the term ""torque""?",The force applied to an object,The rate of change of velocity,The product of force and distance from the axis of rotation,The resistance of an object to changes in its state of motion,c,hard
123,What is the difference between linear motion and rotational motion?,"Linear motion occurs along a straight path, while rotational motion occurs along a curved path.","Linear motion involves movement of objects without rotation, while rotational motion involves objects rotating about an axis.","Linear motion always involves constant velocity, while rotational motion always involves constant angular velocity.",There is no difference between linear motion and rotational motion.,b,hard
124,What is the concept of frictional force in mechanics?,Frictional force always opposes the motion of an object.,Frictional force is independent of the nature of the surfaces in contact.,Frictional force is always proportional to the velocity of the object.,Frictional force is only applicable to objects moving at constant velocity.,a,hard
125,What is the principle of work-energy theorem?,The work done by external forces on a system is equal to the change in its kinetic energy.,The work done by internal forces on a system is equal to the change in its potential energy.,The work done by internal and external forces on a system is always zero.,The work done by gravity on a system is equal to the change in its gravitational potential energy.,a,hard
126,What is the concept of mechanical advantage in mechanics?,Mechanical advantage measures the efficiency of a machine in converting input energy to output energy.,Mechanical advantage measures the speed of a machine in performing work.,Mechanical advantage measures the force amplification achieved by using a machine.,Mechanical advantage measures the work done by a machine in lifting objects.,c,hard
127,"What is meant by the term ""moment of force""?",The force applied to an object.,The rate of change of velocity.,The product of force and distance from the axis of rotation.,The resistance of an object to changes in its state of motion.,c,hard
128,What is the concept of conservation of linear momentum?,Linear momentum is always conserved in rotational motion.,Linear momentum is never conserved in rotational motion.,Linear momentum is conserved only in linear motion.,Linear momentum is conserved only in circular motion.,c,hard
129,"What is meant by the term ""center of gravity""?",The point where the mass of an object is concentrated.,The point where the net force on an object is zero.,The point where the velocity of an object is zero.,The point where the acceleration of an object is zero.,a,hard
130,What is the difference between elastic and inelastic collisions?,"Elastic collisions conserve kinetic energy, while inelastic collisions do not.","Elastic collisions conserve momentum, while inelastic collisions do not.","Elastic collisions always result in deformation, while inelastic collisions do not.",There is no difference between elastic and inelastic collisions.,a,hard
131,What is the concept of equilibrium in mechanics?,Equilibrium occurs when an object is at rest.,Equilibrium occurs when the net force and net torque acting on an object are zero.,Equilibrium occurs only when the net force acting on an object is zero.,Equilibrium occurs only when the net torque acting on an object is zero.,b,hard
132,What is the principle of Pascal's Law?,Pressure applied to a confined fluid is transmitted undiminished in all directions.,The volume of a gas is inversely proportional to its pressure.,The buoyant force acting on an object in a fluid is equal to the weight of the fluid displaced by the object.,The temperature of a gas is directly proportional to its volume.,a,hard
133,What is the concept of impulse in mechanics?,Impulse is the change in velocity of an object.,Impulse is the area under the force-time graph.,Impulse is the force applied to an object.,Impulse is the time taken for an object to change its momentum.,b,hard
134,What is the principle of Archimedes' Principle?,An object immersed in a fluid experiences a buoyant force equal to the weight of the fluid displaced by the object.,The pressure applied to a confined fluid is transmitted undiminished in all directions.,The volume of a gas is inversely proportional to its pressure.,The temperature of a gas is directly proportional to its volume.,a,hard
135,25. What is the principle of conservation of angular momentum?,Angular momentum is always conserved in rotational motion.,Angular momentum is never conserved in rotational motion.,Angular momentum is conserved only in linear motion.,Angular momentum is conserved only in circular motion.,a,hard
136,26. What is the concept of torque in mechanics?,Torque is the force applied to an object.,Torque is the rate of change of velocity.,Torque is the product of force and distance from the axis of rotation.,Torque is the resistance of an object to changes in its state of motion.,c,hard
137,27. What is the difference between velocity and speed?,"Velocity is a scalar quantity, while speed is a vector quantity.","Velocity is the rate of change of displacement, while speed is the rate of change of distance.","Velocity includes direction, while speed does not.","Velocity is always positive, while speed can be negative.",c,hard
138,28. What is the principle of action and reaction in mechanics?,The principle stating that every action has an equal and opposite reaction.,The principle stating that the net force acting on an object is equal to the rate of change of its momentum.,The principle stating that the total energy of a system remains constant over time.,The principle stating that the force exerted by an object is equal to the product of its mass and acceleration.,a,hard
139,"29. What is meant by ""terminal velocity""?",The maximum velocity an object can reach when falling through a fluid.,The velocity of an object at rest.,The velocity of an object moving at constant speed.,The velocity of an object in free fall,a,hard
140,30. What is the principle of conservation of energy in mechanics?,Energy can neither be created nor destroyed; it can only be transformed from one form to another.,Energy is always created in mechanical systems.,Energy is always destroyed in mechanical systems.,Energy depends on the velocity of an object.,a,hard
141,What is the principle of conservation of angular momentum?,Angular momentum is always conserved in rotational motion.,Angular momentum is never conserved in rotational motion.,Angular momentum is conserved only in linear motion.,Angular momentum is conserved only in circular motion.,a,hard
142,What is the concept of torque in mechanics?,Torque is the force applied to an object.,Torque is the rate of change of velocity.,Torque is the product of force and distance from the axis of rotation.,Torque is the resistance of an object to changes in its state of motion.,c,hard
143,What is the difference between velocity and speed?,"Velocity is a scalar quantity, while speed is a vector quantity.","Velocity is the rate of change of displacement, while speed is the rate of change of distance.","Velocity includes direction, while speed does not.","Velocity is always positive, while speed can be negative.",c,hard
144,What is the principle of action and reaction in mechanics?,The principle stating that every action has an equal and opposite reaction.,The principle stating that the net force acting on an object is equal to the rate of change of its momentum.,The principle stating that the total energy of a system remains constant over time.,The principle stating that the force exerted by an object is equal to the product of its mass and acceleration.,a,hard
145,"What is meant by ""terminal velocity""?",The maximum velocity an object can reach when falling through a fluid.,The velocity of an object at rest.,The velocity of an object moving at constant speed.,The velocity of an object in free fall.,a,hard
146,What is the principle of conservation of energy in mechanics?,Energy can neither be created nor destroyed; it can only be transformed from one form to another.,Energy is always created in mechanical systems.,Energy is always destroyed in mechanical systems.,Energy depends on the velocity of an object.,a,hard
147,What is the concept of work in mechanics?,Work is the displacement of an object.,Work is the force applied to an object.,Work is the product of force and distance moved in the direction of the force.,Work is the time taken for an object to complete a motion.,c,hard
148,What is the principle of Newton's Second Law of Motion?,The force applied to an object is equal to the rate of change of its momentum.,The net force acting on an object is equal to the product of its mass and acceleration.,Every action has an equal and opposite reaction.,The total energy of a system remains constant over time.,b,hard
149,What is the principle of conservation of momentum in mechanics?,Momentum is always conserved in linear motion.,Momentum is never conserved in rotational motion.,Momentum is conserved only in elastic collisions.,Momentum is conserved only in inelastic collisions.,c,hard
150,"What is meant by the term ""moment of inertia""?",The force applied to an object.,The rate of change of velocity.,The resistance of an object to changes in its rotational motion.,The product of force and distance from the axis of rotation.,c,hard
151,What is the concept of angular velocity in mechanics?,Angular velocity is the rate of change of angular displacement.,Angular velocity is the rate of change of linear displacement.,Angular velocity is the rate of change of torque.,Angular velocity is the rate of change of momentum.,a,hard
152,What is the principle of conservation of mechanical energy?,Mechanical energy is always conserved in linear motion.,Mechanical energy is never conserved in rotational motion.,Mechanical energy is conserved only in elastic collisions.,Mechanical energy is conserved in the absence of non-conservative forces.,d,hard
153,What is the concept of work in mechanics?,Work is the displacement of an object.,Work is the force applied to an object.,Work is the product of force and distance moved in the direction of the force.,Work is the time taken for an object to complete a motion.,c,hard
154,What is the principle of Newton's Second Law of Motion?,The force applied to an object is equal to the rate of change of its momentum.,The net force acting on an object is equal to the product of its mass and acceleration.,Every action has an equal and opposite reaction.,The total energy of a system remains constant over time.,b,hard
155,What is the principle of conservation of momentum in mechanics?,Momentum is always conserved in linear motion.,Momentum is never conserved in rotational motion.,Momentum is conserved only in elastic collisions.,Momentum is conserved only in inelastic collisions.,c,hard
