id,question,a,b,c ,d ,answer,level
36,What is the purpose of the TCP/IP protocol suite?,To define the physical and electrical specifications for devices in a network,To establish secure connections between devices,To define the rules and procedures for communication between devices on a network,To manage network traffic and bandwidth,c,easy
37,What is the purpose of a DNS server?,To connect devices within the same LAN,To filter and forward network traffic between clients and servers,To translate domain names to IP addresses,To establish secure connections between devices,c,easy
38,Which of the following is a commonly used network cable type?,HDMI,USB,Coaxial,VGA,c,easy
39,What is the primary function of the Transport Layer in the OSI model?,To transmit data over the physical medium,To provide error detection and correction,To manage network traffic and bandwidth,To ensure data is delivered reliably and in sequence,d,easy
40,Which device is used to connect multiple computers in a LAN?,Hub,Modem,Router,Switch,d,easy
41,What is the primary function of a router in a network?,To connect devices within the same LAN,To connect multiple networks together,To connect computers to the internet,To amplify signals within a network,b,easy
42,Which of the following is used to uniquely identify a device on a network?,IP Address,MAC Address,URL,DNS,b,easy
43,Which protocol is used for sending emails over the internet?,HTTP,FTP,SMTP,SNMP,c,easy
44,What is the purpose of DHCP (Dynamic Host Configuration Protocol) in networking?,To assign static IP addresses to devices,To translate domain names to IP addresses,To dynamically assign IP addresses to devices on a network,To establish secure connections between devices,c,easy
45,What is the default port number for HTTP (Hypertext Transfer Protocol)?,80,443,21,25,a,easy
46,Which layer of the OSI model is responsible for logical addressing?,Physical Layer,Data Link Layer,Network Layer,Transport Layer,c,easy
47,What is the purpose of a modem in networking?,To connect multiple networks together,To connect computers to the internet,To connect devices within the same LAN,To amplify signals within a network,b,easy
48,What is the maximum speed of data transmission over a standard Ethernet connection?,10 Mbps,100 Mbps,1 Gbps,10 Gbps,c,easy
49,What is the purpose of NAT (Network Address Translation)?,To translate IP addresses to MAC addresses,To translate public IP addresses to private IP addresses,To encrypt data transmitted over the network,To establish secure connections between devices,b,easy
50,Which of the following topologies connects all devices to a central point?,Bus,Star,Ring,Mesh,b,easy
51,What is the purpose of a subnet mask in networking?,To identify the network portion of an IP address,To identify the host portion of an IP address,To determine the maximum number of hosts on a network,To determine the maximum number of subnets on a network,a,medium
52,Which of the following is NOT a characteristic of IPv6?,Larger address space compared to IPv4,Improved support for quality of service (QoS),Use of DHCP for address configuration,Simplified header format,c,medium
53,What is the purpose of ARP (Address Resolution Protocol)?,To convert domain names to IP addresses,To translate private IP addresses to public IP addresses,To map IP addresses to MAC addresses,To establish secure connections between devices,c,medium
54,What is the function of a default gateway in a TCP/IP network?,To translate domain names to IP addresses,To provide access to resources on other networks,To connect devices within the same LAN,To manage network traffic and bandwidth,b,medium
55,Which of the following is NOT a valid IPv6 address format?,2001:0db8:85a3:0000:0000:8a2e:0370:7334,fe80::226:55ff:fe44:1234,192.168.1.1,2001:db8::1,c,medium
56,What is the purpose of ICMP (Internet Control Message Protocol)?,To translate domain names to IP addresses,To manage network traffic and bandwidth,To send error messages and operational information,To establish secure connections between devices,c,medium
57,Which protocol is used to assign IP addresses dynamically to devices on a network?,DNS (Domain Name System),DHCP (Dynamic Host Configuration Protocol),SNMP (Simple Network Management Protocol),HTTP (Hypertext Transfer Protocol),b,medium
58,What is the purpose of VLANs (Virtual Local Area Networks)?,To extend the range of a wireless network,To connect multiple networks together,To logically segment a physical LAN into multiple virtual LANs,To manage network traffic and bandwidth,c,medium
59,What is the maximum speed of data transmission over a standard Ethernet connection?,10 Mbps,100 Mbps,1 Gbps,10 Gbps,b,medium
60,Which protocol is used for securely transferring files over a network?,FTP (File Transfer Protocol),HTTP (Hypertext Transfer Protocol),SMTP (Simple Mail Transfer Protocol),SNMP (Simple Network Management Protocol),a,medium
61,What is the primary function of the Transport Layer in the OSI model?,To transmit data over the physical medium,To provide error detection and correction,To manage network traffic and bandwidth,To ensure data is delivered reliably and in sequence,d,medium
62,Which of the following is NOT a commonly used wireless networking standard?,IEEE 802.11a,IEEE 802.11b,IEEE 802.11g,IEEE 802.11n,d,medium
63,What is the function of a firewall in networking?,To amplify signals within a network,To connect devices within the same LAN,To prevent unauthorized access to or from a private network,To convert domain names to IP addresses,c,medium
64,Which of the following is a characteristic of a peer-to-peer network?,Centralized control,Hierarchical structure,Decentralized control,Limited scalability,c,medium
65,What is the purpose of DNS (Domain Name System) in networking?,To connect devices within the same LAN,To filter and forward network traffic between clients and servers,To translate domain names to IP addresses,To establish secure connections between devices,c,medium
66,What is the primary function of NAT (Network Address Translation)?,To translate IP addresses to MAC addresses,To translate public IP addresses to private IP addresses,To encrypt data transmitted over the network,To establish secure connections between devices,b,medium
67,What is the purpose of a proxy server in networking?,To translate domain names to IP addresses,To filter and forward network traffic between clients and servers,To connect devices within the same LAN,To establish secure connections between devices,b,medium
68,Which of the following is NOT a type of network topologies?,Bus,Star,Ring,Loop,d,medium
69,What is the purpose of the TCP/IP protocol suite?,To define the physical and electrical specifications for devices in a network,To establish secure connections between devices,To define the rules and procedures for communication between devices on a network,To manage network traffic and bandwidth,c,medium
70,What is the purpose of a DNS server?,To connect devices within the same LAN,To filter and forward network traffic between clients and servers,To translate domain names to IP addresses,To establish secure connections between devices,c,medium
71,Which of the following is a commonly used network cable type?,HDMI,USB,Coaxial,VGA,c,medium
72,What is the purpose of a modem in networking?,To connect multiple networks together,To connect computers to the internet,To connect devices within the same LAN,To amplify signals within a network,b,medium
73,Which of the following is a characteristic of a peer-to-peer network?,Centralized control,Hierarchical structure,Decentralized control,Limited scalability,c,medium
74,What is the purpose of ICMP (Internet Control Message Protocol)?,To translate domain names to IP addresses,To manage network traffic and bandwidth,To send error messages and operational information,To establish secure connections between devices,c,medium
75,Which of the following is NOT a valid IPv6 address?,2001:0db8:85a3:0000:0000:8a2e:0370:7334,fe80::226:55ff:fe44:1234,192.168.1.1,2001:db8::1,c,medium
76,Which protocol is used to assign IP addresses dynamically to devices on a network?,DNS (Domain Name System),DHCP (Dynamic Host Configuration Protocol),SNMP (Simple Network Management Protocol),HTTP (Hypertext Transfer Protocol),b,medium
77,What is the purpose of VLANs (Virtual Local Area Networks)?,To extend the range of a wireless network,To connect multiple networks together,To logically segment a physical LAN into multiple virtual LANs,To manage network traffic and bandwidth,c,medium
78,What is the maximum speed of data transmission over a standard Ethernet connection?,10 Mbps,100 Mbps,1 Gbps,10 Gbps,b,medium
79,Which protocol is used for securely transferring files over a network?,FTP (File Transfer Protocol),HTTP (Hypertext Transfer Protocol),SMTP (Simple Mail Transfer Protocol),SNMP (Simple Network Management Protocol),a,medium
80,What is the primary function of the Transport Layer in the OSI model?,To transmit data over the physical medium,To provide error detection and correction,To manage network traffic and bandwidth,To ensure data is delivered reliably and in sequence,d,medium
81,What is the function of a firewall in networking?,To amplify signals within a network,To connect devices within the same LAN,To prevent unauthorized access to or from a private network,To convert domain names to IP addresses,c,medium
82,Which of the following is a characteristic of a peer-to-peer network?,Centralized control,Hierarchical structure,Decentralized control,Limited scalability,c,medium
83,What is the purpose of DNS (Domain Name System) in networking?,To connect devices within the same LAN,To filter and forward network traffic between clients and servers,To translate domain names to IP addresses,To establish secure connections between devices,c,medium
84,What is the purpose of NAT (Network Address Translation)?,To translate IP addresses to MAC addresses,To translate public IP addresses to private IP addresses,To encrypt data transmitted over the network,To establish secure connections between devices,b,medium
85,Which of the following is a characteristic of a hub in a network?,It forwards data packets only to the intended recipient.,It operates at the Data Link Layer of the OSI model.,It amplifies and broadcasts data to all connected devices.,It provides logical segmentation of a LAN into multiple virtual LANs.,c,medium
86,What is the purpose of a MAC address?,To uniquely identify a device on a network.,To translate domain names to IP addresses.,To determine the maximum number of hosts on a network.,To ensure data is delivered reliably and in sequence.,a,medium
87,Which of the following is NOT a function of a router?,To connect multiple networks together.,To determine the best path for data packets to reach their destination.,To manage network traffic within a LAN.,To provide security by filtering traffic based on predefined rules.,c,medium
88,What is the purpose of a DNS resolver?,To translate domain names to IP addresses.,To manage network traffic and bandwidth.,To send error messages and operational information.,To connect devices within the same LAN.,a,medium
89,Which protocol is used to automatically assign IP addresses to devices on a network?,DNS (Domain Name System),DHCP (Dynamic Host Configuration Protocol),SNMP (Simple Network Management Protocol),HTTP (Hypertext Transfer Protocol),b,medium
90,What is the purpose of a subnet mask in networking?,To identify the network portion of an IP address.,To identify the host portion of an IP address.,To determine the maximum number of hosts on a network.,To determine the maximum number of subnets on a network.,a,medium
91,Which of the following is a characteristic of a switch in a network?,It operates at the Physical Layer of the OSI model.,It broadcasts data to all devices on the network.,It forwards data packets only to the intended recipient.,It connects multiple networks together.,c,medium
92,What is the primary function of the Transport Layer in the OSI model?,To transmit data over the physical medium.,To provide error detection and correction.,To manage network traffic and bandwidth.,To ensure data is delivered reliably and in sequence.,d,medium
93,Which of the following is a commonly used wireless encryption standard?,WEP (Wired Equivalent Privacy),SSL (Secure Sockets Layer),AES (Advanced Encryption Standard),TLS (Transport Layer Security),c,medium
94,What is the purpose of a proxy server in networking?,To translate domain names to IP addresses.,To filter and forward network traffic between clients and servers.,To establish secure connections between devices.,To connect devices within the same LAN.,b,medium
95,Which of the following protocols is used for securely transferring files over a network?,FTP (File Transfer Protocol),HTTP (Hypertext Transfer Protocol),SMTP (Simple Mail Transfer Protocol),SNMP (Simple Network Management Protocol),a,medium
96,What is the purpose of a VPN (Virtual Private Network)?,To extend the range of a wireless network.,To connect multiple networks together.,To provide secure access to a private network over a public network.,To manage network traffic and bandwidth.,c,medium
97,Which of the following is NOT a valid IPv4 address?,192.168.1.1,256.0.0.0,172.16.0.0,10.0.0.1,b,medium
98,Which layer of the OSI model is responsible for logical addressing?,Physical Layer,Data Link Layer,Network Layer,Transport Layer,c,medium
99,What is the purpose of ICMP (Internet Control Message Protocol)?,To translate domain names to IP addresses.,To manage network traffic and bandwidth.,To send error messages and operational information.,To establish secure connections between devices.,c,medium
100,Which of the following routing protocols uses link-state routing algorithm?,RIP (Routing Information Protocol),OSPF (Open Shortest Path First),EIGRP (Enhanced Interior Gateway Routing Protocol),BGP (Border Gateway Protocol),b,hard
101,What is the purpose of ARP poisoning in network security attacks?,To prevent the discovery of network devices.,To hijack IP addresses by associating them with incorrect MAC addresses.,To secure ARP caches by authenticating network devices.,To encrypt network traffic to prevent eavesdropping.,b,hard
102,Which of the following protocols is commonly used for secure remote access to network resources?,RDP (Remote Desktop Protocol),Telnet,SSH (Secure Shell),SNMP (Simple Network Management Protocol),c,hard
103,What is the purpose of VLAN hopping in network security attacks?,To bypass firewall rules by exploiting VLAN configurations.,To flood the network with excessive VLAN traffic.,To prevent unauthorized access to VLANs by implementing access control lists.,To secure VLANs by encrypting data packets.,a,hard
104,Which of the following protocols is commonly used for remote management of network devices?,SMTP (Simple Mail Transfer Protocol),POP3 (Post Office Protocol version 3),SNMP (Simple Network Management Protocol),DHCP (Dynamic Host Configuration Protocol),c,hard
105,What is the purpose of STP (Spanning Tree Protocol) in network switches?,To prevent loops in Ethernet networks by blocking redundant paths.,To prioritize network traffic based on VLAN membership.,To establish secure connections between switches using encryption.,To assign IP addresses dynamically to devices on a network.,a,hard
106,Which of the following is a characteristic of a stateful firewall?,It only examines the source and destination IP addresses of network packets.,It analyzes the contents of network packets to make filtering decisions.,It does not maintain any information about the state of network connections.,It encrypts all network traffic passing through it to prevent eavesdropping.,b,hard
107,Which of the following protocols is commonly used for secure file transfer over a network?,FTP (File Transfer Protocol),TFTP (Trivial File Transfer Protocol),SFTP (SSH File Transfer Protocol),FTPS (File Transfer Protocol Secure),c,hard
108,What is the purpose of a network intrusion detection system (NIDS)?,To encrypt network traffic to prevent eavesdropping.,To prevent unauthorized access to network resources by implementing access control lists.,To monitor network traffic for suspicious activity or security policy violations.,To prioritize network traffic based on quality of service requirements.,c,hard
109,Which of the following protocols is used for secure email communication?,POP3 (Post Office Protocol version 3),SMTP (Simple Mail Transfer Protocol),IMAP (Internet Message Access Protocol),PGP (Pretty Good Privacy),d,hard
110,What is the purpose of an intrusion prevention system (IPS) in network security?,To detect and respond to security threats in real-time.,To prevent network congestion by managing traffic flow.,To authenticate network users and devices.,To encrypt sensitive data transmitted over the network.,a,hard
111,Which of the following is a characteristic of a distributed denial of service (DDoS) attack?,It targets specific network devices to gain unauthorized access.,It floods a network with excessive traffic to disrupt normal operation.,It intercepts and modifies network packets in transit.,It encrypts sensitive data transmitted over the network.,b,hard
112,Which of the following protocols is used for securely accessing web pages?,HTTP (Hypertext Transfer Protocol),HTTPS (Hypertext Transfer Protocol Secure),FTP (File Transfer Protocol),Telnet,b,hard
113,What is the purpose of a VPN (Virtual Private Network) concentrator?,To filter and forward network traffic between clients and servers.,To provide secure access to a private network over a public network.,To manage network traffic within a LAN.,To translate domain names to IP addresses.,b,hard
114,Which of the following protocols is commonly used for securely transferring files over a network?,FTP (File Transfer Protocol),TFTP (Trivial File Transfer Protocol),SCP (Secure Copy Protocol),SNMP (Simple Network Management Protocol),c,hard
115,What is the purpose of a VLAN trunk in a network?,To connect multiple VLANs together.,To secure network connections using encryption.,To prioritize network traffic based on quality of service requirements.,To prevent loops in Ethernet networks by blocking redundant paths.,a,hard
116,Which of the following is a characteristic of MPLS (Multiprotocol Label Switching)?,It operates at the Transport Layer of the OSI model.,It assigns labels to network packets to establish predefined paths.,It encrypts network traffic to prevent eavesdropping.,It provides error detection and correction for data transmission.,b,hard
117,What is the purpose of a reverse proxy server in network architecture?,To filter and forward inbound network traffic to internal servers.,To manage network traffic and bandwidth within a LAN.,To translate domain names to IP addresses for outgoing requests.,To establish secure connections between devices over a public network.,a,hard
118,Which of the following is NOT a valid method for securing wireless networks?,MAC filtering,SSID broadcasting,WPA2 encryption,VPN tunneling,b,hard
119,What is the purpose of an intrusion detection system (IDS) in network security?,To prevent network congestion by managing traffic flow.,To authenticate network users and devices.,To detect and respond to security threats in real-time.,To prioritize network traffic based on quality of service requirements.,c,hard
120,Which of the following is a characteristic of a stateless firewall?,It maintains information about the state of network connections.,It analyzes the contents of network packets to make filtering decisions.,It does not maintain any information about the state of network connections.,It encrypts all network traffic passing through it to prevent eavesdropping.,c,hard
121,What is the purpose of a network tap in network monitoring?,To filter and forward network traffic between clients and servers.,To intercept and analyze network packets for security purposes.,To prioritize network traffic based on quality of service requirements.,To manage network traffic and bandwidth within a LAN.,b,hard
122,Which of the following is a characteristic of a Layer 3 switch?,It operates at the Physical Layer of the OSI model.,It forwards data packets based on MAC addresses.,It provides routing functionality in addition to switching.,It connects multiple networks together.,c,hard
123,What is the purpose of a proxy server in network architecture?,To filter and forward network traffic between clients and servers.,To establish secure connections between devices over a public network.,To translate domain names to IP addresses for outgoing requests.,To connect devices within the same LAN.,a,hard
124,Which of the following is NOT a commonly used network cable type?,Cat5,Cat6,Fiber optic,HDMI,d,hard
125,What is the purpose of a port scanner in network security?,To prevent unauthorized access to network resources.,To prioritize network traffic based on quality of service requirements.,To map out open ports on network devices for potential vulnerabilities.,To encrypt network traffic to prevent eavesdropping.,c,hard
126,Which of the following protocols is used for secure remote access to network devices?,Telnet,SSH (Secure Shell),SNMP (Simple Network Management Protocol),RDP (Remote Desktop Protocol),b,hard
127,What is the purpose of a DNS resolver?,To connect devices within the same LAN.,To translate domain names to IP addresses.,To send error messages and operational information.,To establish secure connections between devices.,b,hard
128,Which of the following is a characteristic of a Layer 2 VPN?,It operates at the Network Layer of the OSI model.,It provides secure remote access to network resources.,It establishes encrypted tunnels between geographically dispersed networks.,It forwards data packets based on MAC addresses.,d,hard
129,What is the purpose of BGP (Border Gateway Protocol) in network routing?,To determine the best path for data packets to reach their destination.,To assign IP addresses dynamically to devices on a network.,To manage network traffic within a LAN.,To establish secure connections between devices using encryption.,a,hard
130,Which of the following is a characteristic of MPLS (Multiprotocol Label Switching)?,It operates at the Transport Layer of the OSI model.,It assigns labels to network packets to establish predefined paths.,It encrypts network traffic to prevent eavesdropping.,It provides error detection and correction for data transmission.,b,hard
131,What is the purpose of a VPN concentrator in network architecture?,To filter and forward network traffic between clients and servers.,To provide secure access to a private network over a public network.,To manage network traffic within a LAN.,To translate domain names to IP addresses.,b,hard
132,Which of the following protocols is used for secure email communication?,SMTP (Simple Mail Transfer Protocol),POP3 (Post Office Protocol version 3),IMAP (Internet Message Access Protocol),PGP (Pretty Good Privacy),d,hard
133,What is the purpose of a network intrusion detection system (NIDS)?,To prevent network congestion by managing traffic flow.,To authenticate network users and devices.,To monitor network traffic for suspicious activity or security policy violations.,To prioritize network traffic based on quality of service requirements.,c,hard
134,What is the purpose of a honeypot in network security?,To simulate a vulnerable system to attract attackers and gather information about their tactics.,To encrypt network traffic to prevent eavesdropping.,To prioritize network traffic based on quality of service requirements.,To prevent unauthorized access to network resources.,a,hard
135,Which of the following is NOT a characteristic of IPv6?,Larger address space compared to IPv4.,Enhanced security features.,Improved support for multicasting.,Backward compatibility with IPv4.,d,hard
136,What is the purpose of a load balancer in network architecture?,To filter and forward network traffic between clients and servers.,To distribute incoming network traffic across multiple servers to improve performance and reliability.,To translate domain names to IP addresses for outgoing requests.,To establish secure connections between devices over a public network.,b,hard
137,Which of the following protocols is used for secure authentication in wireless networks?,WEP (Wired Equivalent Privacy),WPA (Wi-Fi Protected Access),SSL (Secure Sockets Layer),TLS (Transport Layer Security),b,hard
138,What is the purpose of an SSL VPN (Secure Sockets Layer Virtual Private Network)?,To establish secure connections between devices over a public network.,To provide secure remote access to network resources.,To manage network traffic and bandwidth within a LAN.,To translate domain names to IP addresses for outgoing requests.,b,hard
139,Which of the following is a characteristic of a Layer 4 firewall?,It analyzes the contents of network packets to make filtering decisions.,It maintains information about the state of network connections.,It forwards data packets based on MAC addresses.,It prioritizes network traffic based on quality of service requirements.,a,hard
140,What is the purpose of a content delivery network (CDN) in network architecture?,To provide secure remote access to network resources.,To distribute web content to multiple geographically dispersed servers to improve performance and reliability.,To manage network traffic and bandwidth within a LAN.,To encrypt network traffic to prevent eavesdropping.,b,hard
141,Which of the following is a characteristic of a Layer 7 firewall?,It forwards data packets based on MAC addresses.,It analyzes the contents of network packets to make filtering decisions.,It maintains information about the state of network connections.,It prioritizes network traffic based on quality of service requirements.,b,hard
142,What is the purpose of a WAF (Web Application Firewall) in network security?,To prevent unauthorized access to network resources.,To protect web applications from common security threats such as SQL injection and cross-site scripting.,To establish secure connections between devices over a public network.,To manage network traffic and bandwidth within a LAN.,b,hard
143,Which of the following protocols is used for secure remote administration of network devices?,SSH (Secure Shell),Telnet,FTP (File Transfer Protocol),SNMP (Simple Network Management Protocol),a,hard
144,What is the purpose of network segmentation in network security?,To prevent unauthorized access to network resources.,To isolate sensitive network assets from potential security threats.,To manage network traffic and bandwidth within a LAN.,To establish secure connections between devices over a public network.,b,hard
145,Which of the following protocols is commonly used for secure email communication?,SMTP (Simple Mail Transfer Protocol),POP3 (Post Office Protocol version 3),IMAP (Internet Message Access Protocol),PGP (Pretty Good Privacy),d,hard
146,What is the purpose of a network tap in network monitoring?,To prioritize network traffic based on quality of service requirements.,To filter and forward network traffic between clients and servers.,To intercept and analyze network packets for security purposes.,To manage network traffic and bandwidth within a LAN.,c,hard
147,Which of the following is NOT a commonly used encryption algorithm for securing network communication?,AES (Advanced Encryption Standard),RSA (Rivest-Shamir-Adleman),MD5 (Message Digest Algorithm 5),DES (Data Encryption Standard),c,hard
148,What is the purpose of a DMZ (Demilitarized Zone) in network architecture?,To provide secure remote access to network resources.,To isolate internal network resources from external threats.,To establish encrypted tunnels between geographically dispersed networks.,To translate domain names to IP addresses for outgoing requests.,b,hard
149,Which of the following is a characteristic of a Layer 3 switch?,It operates at the Physical Layer of the OSI model.,It forwards data packets based on MAC addresses.,It provides routing functionality in addition to switching.,It connects multiple networks together.,c,hard
150,What is the purpose of a network proxy in network architecture?,To filter and forward network traffic between clients and servers.,To manage network traffic and bandwidth within a LAN.,To translate domain names to IP addresses for outgoing requests.,To establish secure connections between devices over a public network.,a,hard
