id,question,a,b ,c,d ,answer,level
43,What is the term for the measure of the change in concentration of reactants or products per unit time?,Rate constant,Reaction rate,Conversion rate,Yield rate,b,easy
44,Which type of reaction occurs when a compound breaks down into two or more simpler substances?,Decomposition,Combination,Displacement,Substitution,a,easy
45,What is the term for the ratio of the concentration of a reactant at any given time to its initial concentration in a first-order reaction?,Reaction rate constant,Half-life,Residence time,Reaction order,b,easy
46,Which factor does not affect the equilibrium constant of a reaction?,Temperature,Pressure,Concentration of products,Presence of catalyst,d,easy
47,What is the term for the rate of a reaction when all reactants are present in stoichiometric proportions?,Specific rate constant,Arrhenius constant,Kinetic constant,Rate-determining step,a,easy
48,Which type of reaction involves the transfer of an electron or electrons from one substance to another?,Decomposition,Combination,Displacement,Redox,d,easy
49,What is the term for a reaction in which the number of atoms of each element is the same in both the reactants and products?,Balanced reaction,Stoichiometric reaction,Equilibrium reaction,Catalytic reaction,a,easy
50,Which factor does not affect the rate of a chemical reaction?,Temperature,Pressure,Concentration of reactants,Volume of the reactor,d,medium
51,What is the term for the point during a reaction where the rate of the forward reaction equals the rate of the reverse reaction?,Equilibrium point,Half-life point,Transition point,Inflection point,a,medium
52,Which type of reactor is characterized by the gradual change in concentration along the length of the reactor?,Plug-flow reactor,Continuous stirred-tank reactor (CSTR),Packed-bed reactor,Batch reactor,a,medium
53,What is the term for the ratio of the actual reaction rate to the maximum possible reaction rate?,Selectivity,Yield,Conversion,Reaction rate constant,c,medium
54,Which law describes the relationship between the rate of a reaction and the concentrations of reactants raised to their respective powers?,Boyle's law,Charles's law,Le Chatelier's principle,Law of mass action,d,medium
55,What is the term for the total amount of reactants converted into products in a chemical reaction?,Yield,Rate,Conversion,Selectivity,a,medium
56,Which reactor configuration is often used for gas-phase reactions?,Plug-flow reactor,Continuous stirred-tank reactor (CSTR),Packed-bed reactor,Batch reactor,a,medium
57,What is the term for the process of increasing the rate of a chemical reaction by adding a substance that increases the frequency of collisions between reactant molecules?,Activation,Inhibition,Catalysis,Deactivation,c,medium
58,"Which type of reaction involves the exchange of ions between two compounds, leading to the formation of two new compounds?",Decomposition,Combination,Displacement,Ion-exchange,d,medium
59,What is the term for the temperature at which the rate of a chemical reaction doubles for every 10-degree increase in temperature?,Activation temperature,Optimum temperature,Kinetic temperature,Arrhenius temperature,d,medium
60,Which reactor configuration is often used for reactions involving solids that remain stationary while reactants flow over them?,Plug-flow reactor,Continuous stirred-tank reactor (CSTR),Packed-bed reactor,Batch reactor,c,medium
61,What is the term for the process of slowing down or stopping a chemical reaction?,Inhibition,Deactivation,Activation,Saturation,a,medium
62,Which factor does not affect the equilibrium constant of a reaction?,Temperature,Pressure,Concentration of products,Presence of catalyst,d,medium
63,What is the term for the measure of the change in concentration of reactants or products per unit time?,Rate constant,Reaction rate,Conversion rate,Yield rate,b,medium
64,Which reactor configuration is often used for continuous-flow processes in which reactants are fed into the reactor continuously?,Plug-flow reactor,Continuous stirred-tank reactor (CSTR),Packed-bed reactor,Batch reactor,b,medium
65,What is the term for the ratio of the rate of the desired reaction to the rate of undesired side reactions?,Rate constant,Selectivity,Yield,Conversion,b,medium
66,Which law states that the rate of a reaction is directly proportional to the product of the concentrations of the reactants?,Boyle's law,Charles's law,Le Chatelier's principle,Law of mass action,d,medium
67,What is the term for the time required for the concentration of a reactant to decrease to half of its initial value in a first-order reaction?,Half-life,Reaction time,Residence time,Retention time,a,medium
68,Which type of reaction involves the breaking down of a compound into simpler substances?,Decomposition,Combination,Displacement,Substitution,a,medium
69,What is the term for the ratio of the concentration of a reactant at any given time to its initial concentration in a first-order reaction?,Reaction rate constant,Half-life,Residence time,Reaction order,b,medium
70,Which reactor configuration is suitable for reactions that require a long residence time?,Plug-flow reactor,Continuous stirred-tank reactor (CSTR),Packed-bed reactor,Batch reactor,a,medium
71,What is the term for a reaction in which the number of atoms of each element is the same in both the reactants and products?,Balanced reaction,Stoichiometric reaction,Equilibrium reaction,Catalytic reaction,a,medium
72,Which factor does not affect the selectivity of a reaction?,Temperature,Pressure,Catalyst,Reactant concentration,b,medium
73,What is the term for the rate of a reaction when all reactants are present in stoichiometric proportions?,Specific rate constant,Arrhenius constant,Kinetic constant,Rate-determining step,a,medium
74,Which type of reaction occurs when a single reactant breaks down into simpler products?,Decomposition,Combination,Displacement,Substitution,a,medium
75,Which factor primarily determines the selectivity of a reaction?,Temperature,Pressure,Catalyst,Reactant concentration,c,medium
76,What is the term for the ratio of the rate of the desired reaction to the rate of undesired side reactions?,Rate constant,Selectivity,Yield,Conversion,b,medium
77,Which reactor configuration is often used for gas-phase reactions?,Plug-flow reactor,Continuous stirred-tank reactor (CSTR),Packed-bed reactor,Batch reactor,a,medium
78,What is the term for the process of increasing the rate of a chemical reaction by adding a substance that increases the frequency of collisions between reactant molecules?,Activation,Inhibition,Catalysis,Deactivation,c,medium
79,"Which type of reaction involves the exchange of ions between two compounds, leading to the formation of two new compounds?",Decomposition,Combination,Displacement,Ion-exchange,d,medium
80,What is the term for the temperature at which the rate of a chemical reaction doubles for every 10-degree increase in temperature?,Activation temperature,Optimum temperature,Kinetic temperature,Arrhenius temperature,d,medium
81,Which reactor configuration is often used for reactions involving solids that remain stationary while reactants flow over them?,Plug-flow reactor,Continuous stirred-tank reactor (CSTR),Packed-bed reactor,Batch reactor,c,medium
82,What is the term for the process of slowing down or stopping a chemical reaction?,Inhibition,Deactivation,Activation,Saturation,a,medium
83,Which factor does not affect the equilibrium constant of a reaction?,Temperature,Pressure,Concentration of products,Presence of catalyst,d,medium
84,What is the term for the measure of the change in concentration of reactants or products per unit time?,Rate constant,Reaction rate,Conversion rate,Yield rate,b,medium
85,Which reactor configuration is often used for continuous-flow processes in which reactants are fed into the reactor continuously?,Plug-flow reactor,Continuous stirred-tank reactor (CSTR),Packed-bed reactor,Batch reactor,b,medium
86,What is the term for the ratio of the rate of the desired reaction to the rate of undesired side reactions?,Rate constant,Selectivity,Yield,Conversion,b,medium
87,Which law states that the rate of a reaction is directly proportional to the product of the concentrations of the reactants?,Boyle's law,Charles's law,Le Chatelier's principle,Law of mass action,d,medium
88,What is the term for the time required for the concentration of a reactant to decrease to half of its initial value in a first-order reaction?,Half-life,Reaction time,Residence time,Retention time,a,medium
89,Which type of reaction involves the breaking down of a compound into simpler substances?,Decomposition,Combination,Displacement,Substitution,a,medium
90,What is the term for the ratio of the concentration of a reactant at any given time to its initial concentration in a first-order reaction?,Reaction rate constant,Half-life,Residence time,Reaction order,b,medium
91,Which reactor configuration is suitable for reactions that require a long residence time?,Plug-flow reactor,Continuous stirred-tank reactor (CSTR),Packed-bed reactor,Batch reactor,a,medium
92,What is the term for a reaction in which the number of atoms of each element is the same in both the reactants and products?,Balanced reaction,Stoichiometric reaction,Equilibrium reaction,Catalytic reaction,a,medium
93,Which factor does not affect the selectivity of a reaction?,Temperature,Pressure,Catalyst,Reactant concentration,b,medium
94,Which reactor configuration is often used for gas-phase reactions?,Plug-flow reactor,Continuous stirred-tank reactor (CSTR),Packed-bed reactor,Batch reactor,a,medium
95,What is the term for the process of increasing the rate of a chemical reaction by adding a substance that increases the frequency of collisions between reactant molecules?,Activation,Inhibition,Catalysis,Deactivation,c,medium
96,"Which type of reaction involves the exchange of ions between two compounds, leading to the formation of two new compounds?",Decomposition,Combination,Displacement,Ion-exchange,d,medium
97,What is the term for the temperature at which the rate of a chemical reaction doubles for every 10-degree increase in temperature?,Activation temperature,Optimum temperature,Kinetic temperature,Arrhenius temperature,d,medium
98,Which reactor configuration is often used for reactions involving solids that remain stationary while reactants flow over them?,Plug-flow reactor,Continuous stirred-tank reactor (CSTR),Packed-bed reactor,Batch reactor,c,medium
99,What is the term for the process of slowing down or stopping a chemical reaction?,Inhibition,Deactivation,Activation,Saturation,a,medium
100,Which factor does not affect the equilibrium constant of a reaction?,Temperature,Pressure,Concentration of products,Presence of catalyst,d,medium
101,What is the term for the measure of the change in concentration of reactants or products per unit time?,Rate constant,Reaction rate,Conversion rate,Yield rate,b,medium
102,Which reactor configuration is often used for continuous-flow processes in which reactants are fed into the reactor continuously?,Plug-flow reactor,Continuous stirred-tank reactor (CSTR),Packed-bed reactor,Batch reactor,b,medium
103,What is the term for the ratio of the rate of the desired reaction to the rate of undesired side reactions?,Rate constant,Selectivity,Yield,Conversion,b,medium
104,Which factor primarily determines the selectivity of a reaction?,Temperature,Pressure,Catalyst,Reactant concentration,c,hard
105,What is the term for the ratio of the rate of the desired reaction to the rate of undesired side reactions?,Rate constant,Selectivity,Yield,Conversion,b,hard
106,Which reactor configuration is often used for gas-phase reactions?,Plug-flow reactor,Continuous stirred-tank reactor (CSTR),Packed-bed reactor,Batch reactor,a,hard
107,What is the term for the process of increasing the rate of a chemical reaction by adding a substance that increases the frequency of collisions between reactant molecules?,Activation,Inhibition,Catalysis,Deactivation,c,hard
108,"Which type of reaction involves the exchange of ions between two compounds, leading to the formation of two new compounds?",Decomposition,Combination,Displacement,Ion-exchange,d,hard
109,What is the term for the temperature at which the rate of a chemical reaction doubles for every 10-degree increase in temperature?,Activation temperature,Optimum temperature,Kinetic temperature,Arrhenius temperature,d,hard
110,Which reactor configuration is often used for reactions involving solids that remain stationary while reactants flow over them?,Plug-flow reactor,Continuous stirred-tank reactor (CSTR),Packed-bed reactor,Batch reactor,c,hard
111,What is the term for the process of slowing down or stopping a chemical reaction?,Inhibition,Deactivation,Activation,Saturation,a,hard
112,Which factor does not affect the equilibrium constant of a reaction?,Temperature,Pressure,Concentration of products,Presence of catalyst,d,hard
113,What is the term for the measure of the change in concentration of reactants or products per unit time?,Rate constant,Reaction rate,Conversion rate,Yield rate,b,hard
114,Which reactor configuration is often used for continuous-flow processes in which reactants are fed into the reactor continuously?,Plug-flow reactor,Continuous stirred-tank reactor (CSTR),Packed-bed reactor,Batch reactor,b,hard
115,What is the term for the ratio of the rate of the desired reaction to the rate of undesired side reactions?,Rate constant,Selectivity,Yield,Conversion,b,hard
116,Which law states that the rate of a reaction is directly proportional to the product of the concentrations of the reactants?,Boyle's law,Charles's law,Le Chatelier's principle,Law of mass action,d,hard
117,What is the term for the time required for the concentration of a reactant to decrease to half of its initial value in a first-order reaction?,Half-life,Reaction time,Residence time,Retention time,a,hard
118,Which type of reaction involves the breaking down of a compound into simpler substances?,Decomposition,Combination,Displacement,Substitution,a,hard
119,What is the term for the ratio of the concentration of a reactant at any given time to its initial concentration in a first-order reaction?,Reaction rate constant,Half-life,Residence time,Reaction order,b,hard
120,Which reactor configuration is suitable for reactions that require a long residence time?,Plug-flow reactor,Continuous stirred-tank reactor (CSTR),Packed-bed reactor,Batch reactor,a,hard
121,What is the term for a reaction in which the number of atoms of each element is the same in both the reactants and products?,Balanced reaction,Stoichiometric reaction,Equilibrium reaction,Catalytic reaction,a,hard
122,Which factor does not affect the selectivity of a reaction?,Temperature,Pressure,Catalyst,Reactant concentration,b,hard
123,What is the term for the rate of a reaction when all reactants are present in stoichiometric proportions?,Specific rate constant,Arrhenius constant,Kinetic constant,Rate-determining step,a,hard
124,Which reactor configuration is often used for reactions involving solids that remain stationary while reactants flow over them?,Plug-flow reactor,Continuous stirred-tank reactor (CSTR),Packed-bed reactor,Batch reactor,c,hard
125,What is the term for the process of slowing down or stopping a chemical reaction?,Inhibition,Deactivation,Activation,Saturation,a,hard
126,Which factor does not affect the equilibrium constant of a reaction?,Temperature,Pressure,Concentration of products,Presence of catalyst,d,hard
127,What is the term for the measure of the change in concentration of reactants or products per unit time?,Rate constant,Reaction rate,Conversion rate,Yield rate,b,hard
128,Which reactor configuration is often used for continuous-flow processes in which reactants are fed into the reactor continuously?,Plug-flow reactor,Continuous stirred-tank reactor (CSTR),Packed-bed reactor,Batch reactor,b,hard
129,What is the term for the ratio of the rate of the desired reaction to the rate of undesired side reactions?,Rate constant,Selectivity,Yield,Conversion,b,hard
130,Which law states that the rate of a reaction is directly proportional to the product of the concentrations of the reactants?,Boyle's law,Charles's law,Le Chatelier's principle,Law of mass action,d,hard
131,What is the term for the time required for the concentration of a reactant to decrease to half of its initial value in a first-order reaction?,Half-life,Reaction time,Residence time,Retention time,a,hard
132,Which type of reaction involves the breaking down of a compound into simpler substances?,Decomposition,Combination,Displacement,Substitution,a,hard
133,What is the term for the ratio of the concentration of a reactant at any given time to its initial concentration in a first-order reaction?,Reaction rate constant,Half-life,Residence time,Reaction order,b,hard
134,Which reactor configuration is suitable for reactions that require a long residence time?,Plug-flow reactor,Continuous stirred-tank reactor (CSTR),Packed-bed reactor,Batch reactor,a,hard
135,What is the term for a reaction in which the number of atoms of each element is the same in both the reactants and products?,Balanced reaction,Stoichiometric reaction,Equilibrium reaction,Catalytic reaction,a,hard
136,Which factor does not affect the selectivity of a reaction?,Temperature,Pressure,Catalyst,Reactant concentration,b,hard
137,What is the term for the rate of a reaction when all reactants are present in stoichiometric proportions?,Specific rate constant,Arrhenius constant,Kinetic constant,Rate-determining step,a,hard
138,Which reactor configuration is often used for reactions involving solids that remain stationary while reactants flow over them?,Plug-flow reactor,Continuous stirred-tank reactor (CSTR),Packed-bed reactor,Batch reactor,c,hard
139,What is the term for the process of slowing down or stopping a chemical reaction?,Inhibition,Deactivation,Activation,Saturation,a,hard
140,Which factor does not affect the equilibrium constant of a reaction?,Temperature,Pressure,Concentration of products,Presence of catalyst,d,hard
141,What is the term for the measure of the change in concentration of reactants or products per unit time?,Rate constant,Reaction rate,Conversion rate,Yield rate,b,hard
142,Which reactor configuration is often used for continuous-flow processes in which reactants are fed into the reactor continuously?,Plug-flow reactor,Continuous stirred-tank reactor (CSTR),Packed-bed reactor,Batch reactor,b,hard
143,What is the term for the ratio of the rate of the desired reaction to the rate of undesired side reactions?,Rate constant,Selectivity,Yield,Conversion,b,hard
144,Which law describes the relationship between the rate of a chemical reaction and the concentration of reactants?,Avogadro's law,Charles's law,Le Chatelier's principle,Rate law,d,hard
145,What is the term for the reactant that is completely consumed during a chemical reaction?,Limiting reactant,Excess reactant,Intermediate,Catalyst,a,hard
146,Which reactor configuration offers the most uniform temperature and concentration profiles?,Plug-flow reactor,Continuous stirred-tank reactor (CSTR),Packed-bed reactor,Batch reactor,b,hard
147,What is the term for the step in a reaction mechanism that determines the overall rate of the reaction?,Elementary step,Rate-determining step,Intermediate step,Catalytic step,b,hard
148,Which type of reaction occurs spontaneously and releases energy?,Endothermic,Exothermic,Isothermal,Adiabatic,b,hard
149,What is the term for the minimum amount of energy required to initiate a chemical reaction?,Activation energy,Enthalpy,Entropy,Gibbs free energy,a,hard
150,Which factor affects the rate of reaction according to the collision theory?,Volume,Pressure,Surface area,Temperature,d,hard
151,In which type of reaction does a single reactant produce multiple products?,Decomposition,Combustion,Displacement,Polymerization,d,hard
152,What is the term for the rate at which reactants are consumed or products are formed in a chemical reaction?,Reaction rate,Reaction order,Rate constant,Rate-determining step,a,hard
153,Which law states that the rate of a chemical reaction is directly proportional to the product of the concentrations of the reactants?,Boyle's law,Charles's law,Le Chatelier's principle,Law of mass action,d,hard
