id,question,a,b,c,d,answer,level
23,Which SQL command is used to define a new database?,CREATE DATABASE,DEFINE DATABASE,NEW DATABASE,ADD DATABASE,a,easy
24,Which constraint enforces that all values in a column must be unique?,UNIQUE,NOT NULL,PRIMARY KEY,FOREIGN KEY,c,easy
25,Which SQL command is used to retrieve only distinct values from a table?,SELECT DISTINCT,SELECT UNIQUE,DISTINCT SELECT,UNIQUE SELECT,a,easy
26,Which of the following is a valid SQL aggregate function?,CONCAT(),LENGTH(),MAX(),TRIM(),c,easy
27,Which SQL command is used to delete rows from a table?,REMOVE,DELETE,DROP,ERASE,b,easy
28,Which of the following is not a transaction property of ACID?,Atomicity,Consistency,Integrity,Durability,c,easy
29,Which SQL clause is used to group rows that have the same values into summary rows?,GROUP BY,SUMMARIZE,GROUP,AGGREGATE,a,easy
30,Which of the following is a disadvantage of a hierarchical database model?,Redundancy,Flexibility,Complexity,Scalability,c,easy
31,What does ACID stand for in the context of databases?,"Atomicity, Consistency, Isolation, Durability","Association, Consistency, Integrity, Durability","Atomicity, Consistency, Integrity, Diversity","Authentication, Confidentiality, Integrity, Durability",a,easy
32,What is a deadlock in DBMS?,A situation where a set of processes are blocked because each process is holding a resource and waiting for another resource acquired by some other process.,An error in the database program,A type of database constraint,A security feature,a,easy
33,Which operation in SQL returns a set containing only the rows that appear in both queries?,UNION,INTERSECT,JOIN,EXCEPT,b,easy
34,What is an index in a database?,A constraint that ensures unique data,A collection of programs to access data,A database connection,A data structure that improves the speed of data retrieval operations,d,easy
35,Which of the following is a valid SQL JOIN type?,LINK JOIN,OUTER JOIN,MERGE JOIN,BIND JOIN,b,easy
36,"In DBMS, what does DDL stand for?",Data Definition Language,Data Duplication Language,Database Development Language,Data Derivation Language,a,easy
37,What is a primary key?,A key that uniquely identifies each row in a table,A key that cannot be duplicated,A collection of keys,A foreign key that has been promoted,a,easy
38,What is the main advantage of the relational database model?,It is simpler to create and manage.,It supports complex relationships between data.,It requires less memory.,It processes data faster.,b,easy
39,"What is the purpose of the SQL ""HAVING"" clause?",To specify a search condition for a group or an aggregate,To specify a search condition for individual records,To limit the number of rows returned,To specify the sort order of the results,a,easy
40,"In which normal form is a table if it has no multi-valued attributes, and all non-key attributes are fully functional dependent on the primary key?",First Normal Form (1NF),Second Normal Form (2NF),Third Normal Form (3NF),Boyce-Codd Normal Form (BCNF),b,easy
41,Which data manipulation language (DML) command is used to add new rows to a table in SQL?,INSERT INTO,ADD ROW,CREATE ROW,APPEND ROW,a,easy
42,Which of the following operations could cause data loss in a relational database?,SELECT,UPDATE,DROP,INSERT,c,easy
43,"What is the function of the SQL ""GROUP BY"" statement?",To aggregate rows that have the same values in specified columns into summary rows,To sort the result set in either ascending or descending order,To filter records,To join tables,a,easy
44,Which of the following is not a characteristic of transactions in DBMS?,Atomicity,Consistency,Volatility,Durability,c,easy
45,Which SQL clause is used to specify the default sort order (ascending or descending) of the result set?,ORDER BY,SORT BY,GROUP BY,ALIGN BY,a,easy
46,Which SQL keyword is used to specify a condition that records must meet to be selected?,CONDITION,REQUIRE,WHERE,IF,c,easy
47,What is the primary purpose of normalization in DBMS?,To reduce data redundancy and improve data integrity,To increase query speed,To secure data,To consume less storage,a,easy
48,Which of the following is a characteristic of NoSQL databases?,Fixed schema,High transactionality,Scalability,Poor handling of large datasets,c,easy
49,Which SQL statement is used to return only different values?,SELECT DIFFERENT,SELECT DISTINCT,SELECT UNIQUE,SELECT VARY,b,easy
50,Which SQL command is used to change the structure of an existing table?,ALTER TABLE,MODIFY TABLE,UPDATE TABLE,CHANGE TABLE,a,easy
51,What is the purpose of the SQL SELECT statement?,To add new rows to a table,To update existing rows in a table,To retrieve data from a database,To delete rows from a table,c,medium
52,Which of the following is true about a composite key?,It consists of multiple attributes that individually serve as primary keys.,It uniquely identifies a row in a table and consists of a single attribute.,It is the same as a foreign key.,It cannot be used as a primary key.,a,medium
53,What is the purpose of the SQL WHERE clause?,To specify the columns to be retrieved in a SELECT statement,To specify the order of the result set,To filter rows based on a specified condition,To group rows that have the same values into summary rows,c,medium
54,Which of the following is a disadvantage of using a distributed database system?,Increased availability and reliability,Improved performance due to data distribution,Complexity in managing distributed data,Reduced security risks,c,medium
55,What is the purpose of the SQL ORDER BY clause?,To filter rows based on a specified condition,To group rows that have the same values into summary rows,To specify the default sort order of the result set,To aggregate rows based on specified columns,c,medium
56,Which of the following is true about database normalization?,It reduces data redundancy but may increase data retrieval time.,It increases data redundancy but improves data retrieval time.,It ensures data consistency but may lead to data anomalies.,It has no impact on data integrity.,c,medium
57,What is the purpose of the SQL GROUP BY clause?,To aggregate rows that have the same values in specified columns into summary rows,To filter rows based on a specified condition,To specify the order of the result set,To join tables based on common columns,a,medium
58,Which of the following is a disadvantage of using indexes in a database?,Improved data retrieval performance,Increased storage requirements and maintenance overhead,Enhanced data integrity,Simplified data manipulation operations,b,medium
59,"In a relational database, what is a foreign key?",A key that uniquely identifies each row in a table,A key that is used for sorting the result set,An attribute or combination of attributes that uniquely identifies each row,An attribute or combination of attributes that references the primary key of another table,d,medium
60,Which of the following is true about SQL views?,They are physical tables in the database.,They cannot be used to simplify complex queries.,They can be used to restrict access to certain columns or rows of a table.,They cannot be updated.,c,medium
61,What is the purpose of the SQL HAVING clause?,To specify a search condition for individual records,To filter rows based on a specified condition,To aggregate rows that have the same values in specified columns into summary rows,To specify additional conditions for grouped rows,d,medium
62,Which of the following SQL functions is used to find the average value of a numeric column?,AVG(),SUM(),MAX(),COUNT(),a,medium
63,Which of the following is a characteristic of a star schema in data warehousing?,It consists of multiple fact tables and one or more dimension tables.,It is denormalized to improve query performance.,It is suitable for transaction processing.,It does not support data aggregation.,a,medium
64,What is the purpose of the SQL UNION operator?,To return only distinct values from two queries,To combine the result sets of two or more SELECT statements,To filter rows based on a specified condition,To specify the sort order of the result set,b,medium
65,Which of the following SQL statements is used to remove a table from a database?,DELETE TABLE,DROP TABLE,REMOVE TABLE,ERASE TABLE,b,medium
66,What is a deadlock in a DBMS?,A situation where a set of processes are blocked because each process is holding a resource and waiting for another resource acquired by some other process.,An error in the database program,A type of database constraint,A security feature,a,medium
67,"Which SQL JOIN type returns all rows from both tables, joining records where available and filling in NULLs for missing matches?",INNER JOIN,LEFT JOIN,RIGHT JOIN,FULL OUTER JOIN,d,medium
68,What is the purpose of the SQL LIKE operator?,To retrieve rows based on a specified condition,To specify a pattern for matching character strings,To aggregate rows that have the same values in specified columns into summary rows,To sort the result set in ascending or descending order,b,medium
69,Which of the following is not a transaction property of ACID?,Atomicity,Consistency,Isolation,Durability,c,medium
70,What is a trigger in a DBMS?,A procedure that is automatically executed in response to certain events on a particular table or view,A type of constraint that ensures data integrity,A data structure used to improve data retrieval performance,A mechanism for defining relationships between tables,a,medium
71,Which of the following is a disadvantage of using a NoSQL database?,Difficulty in scaling horizontally,Lack of flexibility in data modeling,Limited support for complex queries,Inability to handle unstructured data,c,medium
72,What is the purpose of a database transaction?,To ensure data consistency and integrity,To facilitate data retrieval operations,To optimize query performance,To establish database connections,a,medium
73,Which of the following is true about the COMMIT statement in SQL?,It permanently saves changes made during the current transaction.,It rolls back all changes made during the current transaction.,It starts a new transaction.,It is used to define constraints on the database schema.,a,medium
74,What is a stored procedure in a DBMS?,A database object that stores data temporarily,A set of SQL statements that can be stored and executed on demand,A mechanism for defining relationships between tables,A constraint that ensures data integrity,b,medium
75,What is the purpose of the SQL TRUNCATE TABLE statement?,To delete all rows from a table without logging individual row deletions,To remove a table structure from the database,To delete specific rows from a table based on a specified condition,To remove duplicate rows from a table,a,medium
76,Which of the following is true about database indexing?,It has no impact on query performance.,It is used to define relationships between tables.,It improves data retrieval speed by creating a sorted data structure.,It is only applicable to NoSQL databases.,c,medium
77,What is the purpose of the SQL ROLLBACK statement?,To permanently save changes made during the current transaction.,To undo changes made during the current transaction.,To start a new transaction.,To specify the default sort order of the result set.,b,medium
78,What is a materialized view in a DBMS?,A virtual table that is defined by a query and does not store data physically,A database object that stores data temporarily,A mechanism for defining relationships between tables,A precomputed result set that is stored physically and can be refreshed periodically,d,medium
79,Which of the following is a characteristic of a snowflake schema in data warehousing?,It consists of a single fact table and multiple dimension tables.,It is denormalized to improve query performance.,It does not support data aggregation.,It contains nested dimension tables.,d,medium
80,What is the purpose of the SQL DISTINCT keyword?,To specify the columns to be retrieved in a SELECT statement,To return only distinct values from a result set,To filter rows based on a specified condition,To aggregate rows based on specified columns,b,medium
81,Which of the following is a characteristic of the Entity-Relationship (ER) model?,It represents data as a collection of objects and their relationships.,It uses tables to represent data and relationships.,It is a hierarchical model.,It does not support relationships between data entities.,a,medium
82,What is a database schema?,A physical representation of the database stored on disk,A collection of data stored in a database,A graphical representation of the database structure,A logical representation of the database structure,d,medium
83,Which of the following SQL statements is used to change the structure of an existing table?,ALTER TABLE,MODIFY TABLE,UPDATE TABLE,CHANGE TABLE,a,medium
84,What is the purpose of the SQL NULL value?,It indicates an unknown or missing value in a database column.,It represents the absence of a value.,It is equivalent to a value of zero.,It indicates a default value for a column.,a,medium
85,Which of the following is a characteristic of the MongoDB NoSQL database?,It uses a structured query language similar to SQL.,It stores data in tables with fixed schemas.,It is based on the document-oriented data model.,It does not support distributed databases.,c,medium
86,What is a database index?,A physical representation of the database stored on disk,A mechanism for defining relationships between tables,A data structure that improves the speed of data retrieval operations,A graphical representation of the database structure,c,medium
87,Which of the following is a characteristic of the Cassandra NoSQL database?,It is based on the document-oriented data model.,It provides support for complex transactions.,It uses a column-oriented data model.,It does not support distributed databases.,c,medium
88,What is the purpose of the SQL LIMIT clause?,To specify the columns to be retrieved in a SELECT statement,To filter rows based on a specified condition,To limit the number of rows returned by a query,To aggregate rows based on specified columns,c,medium
89,Which of the following is true about the MongoDB document-oriented data model?,It uses a tabular format to store data.,It allows for complex data structures to be stored within a single document.,It does not support hierarchical data.,It requires predefined schemas for data storage.,b,medium
90,What is a database view?,A physical representation of the database stored on disk,A mechanism for defining relationships between tables,A virtual table that is defined by a query and does not store data physically,A graphical representation of the database structure,c,medium
91,Which of the following is true about the PostgreSQL database?,It does not support distributed databases.,It is based on the document-oriented data model.,It is a column-oriented database.,It provides support for complex transactions.,d,medium
92,What is a database transaction?,A set of SQL statements that are executed as a single unit of work,A mechanism for defining relationships between tables,A constraint that enforces data integrity,A procedure that is automatically executed in response to certain events on a particular table or view,a,medium
93,Which of the following is a characteristic of a document-oriented database?,It stores data in tables with fixed schemas.,It is based on the relational data model.,It allows for complex data structures to be stored within a single document.,It does not support hierarchical data.,c,medium
94,What is a database index?,A physical representation of the database stored on disk,A mechanism for defining relationships between tables,A data structure that improves the speed of data retrieval operations,A graphical representation of the database structure,c,medium
95,What is the purpose of the SQL JOIN operation?,To filter rows based on a specified condition,To combine the result sets of two or more SELECT statements,To aggregate rows based on specified columns,To specify the default sort order of the result set,b,medium
96,Which of the following is true about database normalization?,It increases data redundancy but improves data retrieval time.,It reduces data redundancy but may increase data retrieval time.,It ensures data consistency but may lead to data anomalies.,It has no impact on data integrity.,c,medium
97,What is the purpose of the SQL GROUP BY clause?,To filter rows based on a specified condition,To specify the order of the result set,To aggregate rows that have the same values in specified columns into summary rows,To join tables based on common columns,c,medium
98,Which of the following is a characteristic of a graph database?,It stores data in tabular format.,It does not support complex relationships between data entities.,It is based on the hierarchical data model.,It represents data as nodes and edges.,d,medium
99,What is the purpose of the SQL UNION operator?,To return only distinct values from two queries,To combine the result sets of two or more SELECT statements,To filter rows based on a specified condition,To specify the sort order of the result set,b,medium
100,What is a database trigger?,A mechanism for defining relationships between tables,A constraint that enforces data integrity,A procedure that is automatically executed in response to certain events on a particular table or view,A data structure used to improve data retrieval performance,c,medium
101,Which of the following is true about the B-tree index structure?,It is optimized for write-heavy workloads.,It is primarily used for in-memory databases.,It maintains data in sorted order for efficient searching.,It cannot handle multi-dimensional data.,c,hard
102,What is the purpose of the SQL MERGE statement?,To insert new rows into a table,To update existing rows in a table,To delete rows from a table,To perform both update and insert operations based on a condition,d,hard
103,Which of the following is a characteristic of the CAP theorem in distributed databases?,"Consistency, Availability, Partition tolerance","Consistency, Atomicity, Partition tolerance","Consistency, Availability, Durability","Atomicity, Partition tolerance, Durability",a,hard
104,What is a recursive relationship in database design?,A relationship where an entity is related to itself through a foreign key,A relationship involving multiple entities,A relationship that cannot be represented in a relational database,A relationship between parent and child tables,a,hard
105,Which of the following is a characteristic of the BCNF (Boyce-Codd Normal Form)?,It eliminates all data redundancy.,It is weaker than the third normal form (3NF).,It allows multi-valued dependencies.,It is a necessary condition for data consistency.,a,hard
106,"In the context of database transactions, what does the term ""isolation"" refer to?",The process of ensuring that a transaction is executed completely or not at all.,The ability to perform multiple transactions concurrently without interfering with each other.,The property that ensures that changes made by a transaction are not visible to other transactions until the transaction is committed.,The durability of data changes made by a transaction.,c,hard
107,Which of the following is a characteristic of a multi-version concurrency control (MVCC) mechanism?,It prevents deadlocks in database transactions.,It allows multiple transactions to read and write data concurrently without blocking each other.,It ensures that only one transaction can access a resource at a time.,It simplifies database recovery mechanisms.,b,hard
108,What is the purpose of the SQL ANALYZE statement?,To generate execution plans for SQL queries.,To gather statistics about database objects for query optimization.,To compare the performance of different database management systems.,To create histograms for data distribution analysis.,b,hard
109,Which of the following is true about the concept of database sharding?,It involves storing multiple copies of data across different database servers for redundancy.,"It is a technique for partitioning large databases into smaller, more manageable parts.",It ensures data consistency by maintaining strict synchronization between database replicas.,It is primarily used for creating data warehouses.,b,hard
110,What is a composite attribute in database design?,An attribute that can take multiple values for a single entity instance.,An attribute that is composed of multiple other attributes.,An attribute that uniquely identifies each entity instance.,An attribute that represents a relationship between entities.,b,hard
111,Which of the following is a characteristic of the SQL TRUNCATE statement?,It removes all rows from a table but retains the table structure.,It deletes specific rows from a table based on a specified condition.,It permanently deletes a table from the database.,It rolls back all changes made during the current transaction.,a,hard
112,What is the purpose of a spatial index in a database?,"To optimize queries involving spatial data types, such as points, lines, and polygons.",To enforce data integrity constraints on spatial data.,To create relationships between spatial and non-spatial data.,To perform data aggregation operations on spatial datasets.,a,hard
113,Which of the following is a characteristic of an OLAP (Online Analytical Processing) database?,It is optimized for transactional workloads.,It is based on the document-oriented data model.,It is designed for complex analytical and ad-hoc queries.,It uses row-level locking for concurrency control.,c,hard
114,What is the purpose of a database trigger?,To generate alerts for database events.,To enforce referential integrity constraints.,To automatically execute a set of SQL statements in response to certain database events.,To optimize query performance by precomputing query results.,c,hard
115,Which of the following is a characteristic of a star schema in data warehousing?,It consists of multiple fact tables and one or more dimension tables.,It is normalized to reduce data redundancy.,It does not support data aggregation.,It is optimized for transactional workloads.,a,hard
116,What is the purpose of the SQL CASE statement?,To specify conditions for data retrieval in a SELECT statement.,To perform calculations on numeric data.,To evaluate a series of conditions and return a value based on the first condition that is true.,To join tables based on common columns.,c,hard
117,Which of the following is a characteristic of a NoSQL database?,"It enforces strict ACID (Atomicity, Consistency, Isolation, Durability) properties.",It uses a fixed schema for data storage.,It is designed to handle unstructured and semi-structured data.,It relies on traditional relational database models.,c,hard
118,What is the purpose of the SQL WINDOW functions?,To create temporary tables within a query,To perform calculations on groups of rows related to the current row,To specify conditions for data retrieval in a SELECT statement,To define relationships between tables in a database,b,hard
119,Which of the following is a characteristic of database denormalization?,It increases data redundancy but improves data retrieval performance.,It reduces data redundancy but may increase data retrieval time.,It ensures data consistency but may lead to data anomalies.,It has no impact on database performance.,a,hard
120,What is the purpose of the SQL SAVEPOINT statement?,To mark the end of a transaction,To define a point within a transaction to which you can later roll back,To permanently save changes made during a transaction,To lock a table until the end of the transaction,b,hard
121,Which of the following is a characteristic of a distributed database system?,It relies on a single centralized database server.,It does not support horizontal scaling.,It can span multiple locations and synchronize data across them.,It provides limited fault tolerance and availability.,c,hard
122,What is the purpose of the SQL REVOKE statement?,To delete rows from a table,To grant privileges to a user or role,To roll back changes made during the current transaction,To revoke previously granted privileges from a user or role,d,hard
123,"Which of the following is a characteristic of the ACID (Atomicity, Consistency, Isolation, Durability) properties of database transactions?",It guarantees high availability of data.,It ensures that database changes are irreversible once committed.,It allows multiple transactions to access the same data simultaneously without interference.,It ensures that database transactions are executed completely or not at all.,d,hard
124,What is the purpose of the SQL GRANT statement?,To delete rows from a table,To roll back changes made during the current transaction,To specify conditions for data retrieval in a SELECT statement,To grant privileges to a user or role,d,hard
125,Which of the following is a characteristic of the MongoDB NoSQL database?,It enforces strict schema validation.,It uses a fixed schema for data storage.,It does not support distributed databases.,It is based on the relational data model.,a,hard
126,What is a database deadlock?,A situation where a set of processes are blocked because each process is holding a resource and waiting for another resource acquired by some other process.,An error in the database program,A type of database constraint,A security feature,a,hard
127,Which of the following is true about database normalization?,It reduces data redundancy but may increase data retrieval time.,It ensures data consistency but may lead to data anomalies.,It allows for more efficient data storage but decreases data integrity.,It has no impact on data redundancy.,b,hard
128,What is the purpose of the SQL ALTER TABLE statement?,To delete a table from the database,To change the structure of an existing table,To insert new rows into a table,To select data from a table,b,hard
129,Which of the following is true about database indexing?,It has no impact on query performance.,It is used to define relationships between tables.,It improves data retrieval speed by creating a sorted data structure.,It is only applicable to NoSQL databases.,c,hard
130,What is the purpose of the SQL TRUNCATE TABLE statement?,To delete all rows from a table without logging individual row deletions,To remove a table structure from the database,To delete specific rows from a table based on a specified condition,To remove duplicate rows from a table,a,hard
131,Which of the following is a characteristic of the Cassandra NoSQL database?,It is based on the document-oriented data model.,It provides support for complex transactions.,It uses a column-oriented data model.,It does not support distributed databases.,c,hard
132,What is the purpose of the SQL HAVING clause?,To specify a search condition for individual records,To filter rows based on a specified condition,To aggregate rows that have the same values in specified columns into summary rows,To specify additional conditions for grouped rows,d,hard
133,"Which SQL JOIN type returns all rows from both tables, joining records where available and filling in NULLs for missing matches?",INNER JOIN,LEFT JOIN,RIGHT JOIN,FULL OUTER JOIN,d,hard
134,What is the purpose of the SQL LOCK TABLE statement?,To delete a table from the database,To insert new rows into a table,To prevent other users from accessing a table for exclusive use,To specify conditions for data retrieval in a SELECT statement,c,hard
135,Which of the following is a characteristic of the Cassandra NoSQL database?,It is based on the document-oriented data model.,It provides support for complex transactions.,It uses a column-oriented data model.,It does not support distributed databases.,c,hard
136,What is the purpose of the SQL UNION operator?,To return only distinct values from two queries,To combine the result sets of two or more SELECT statements,To filter rows based on a specified condition,To specify the sort order of the result set,b,hard
137,What is the purpose of the SQL VIEW statement?,To define temporary tables within a query,To specify conditions for data retrieval in a SELECT statement,To create a virtual table based on the result of a SELECT query,To join multiple tables based on common columns,c,hard
138,Which of the following is a characteristic of database materialized views?,They are virtual tables defined by a query.,They do not store data physically but provide a logical representation of data.,"They are physical copies of the underlying tables, updated periodically.",They are primarily used for defining relationships between tables.,c,hard
139,What is the purpose of the SQL SAVEPOINT statement?,To mark the end of a transaction,To define a point within a transaction to which you can later roll back,To permanently save changes made during a transaction,To lock a table until the end of the transaction,b,hard
140,Which of the following is true about database indexing?,It has no impact on query performance.,It is used to define relationships between tables.,It improves data retrieval speed by creating a sorted data structure.,It is only applicable to NoSQL databases.,c,hard
141,What is the purpose of the SQL INTERSECT operator?,To return only distinct values from two queries,To combine the result sets of two or more SELECT statements,To retrieve the intersection of the result sets of two queries,To specify the sort order of the result set,c,hard
142,Which of the following is a characteristic of database transactions?,They are irreversible once committed.,They do not support concurrent access by multiple users.,They ensure data consistency but may lead to data anomalies.,They are executed completely or not at all.,d,hard
143,What is the purpose of the SQL CHECK constraint?,To define a range of values that a column can contain,To enforce referential integrity between tables,To specify conditions for data retrieval in a SELECT statement,To enforce data integrity rules for a column,a,hard
144,What is the purpose of the SQL MERGE statement?,To insert new rows into a table,To update existing rows in a table,To delete rows from a table,To perform both update and insert operations based on a condition,d,hard
145,Which of the following is true about the concept of database sharding?,It involves storing multiple copies of data across different database servers for redundancy.,"It is a technique for partitioning large databases into smaller, more manageable parts.",It ensures data consistency by maintaining strict synchronization between database replicas.,It is primarily used for creating data warehouses.,b,hard
146,What is the purpose of the SQL FETCH statement?,To delete specific rows from a table based on a specified condition,To fetch a single row from the result set of a query,To aggregate rows based on specified columns into summary rows,To specify conditions for data retrieval in a SELECT statement,b,hard
147,What is the purpose of the SQL CHECK constraint?,To define a range of values that a column can contain.,To enforce referential integrity between tables.,To specify conditions for data retrieval in a SELECT statement.,To enforce data integrity rules for a column.,a,hard
148,Which of the following is true about database sharding?,It involves storing multiple copies of data across different database servers for redundancy.,"It is a technique for partitioning large databases into smaller, more manageable parts.",It ensures data consistency by maintaining strict synchronization between database replicas.,It is primarily used for creating data warehouses.,b,hard
149,What is the purpose of the SQL FETCH statement?,To delete specific rows from a table based on a specified condition.,To fetch a single row from the result set of a query.,To aggregate rows based on specified columns into summary rows.,To specify conditions for data retrieval in a SELECT statement.,b,hard
