Qid,Questions,A,B,C,D,Options,Levels
87,Which equation describes the relationship between the pressure drop and flow rate in a pipe?,Poiseuille's Law,Darcy's Law,Hagen-Poiseuille Equation,Bernoulli's Equation,A,Medium
88,What phenomenon does Navier-Stokes Equation describe?,Heat conduction in fluids,Mass diffusion in fluids,Fluid flow behavior,Electrical conduction in fluids,C,Medium
89,Which parameter determines the convective heat transfer coefficient in conduction?,Fluid density,Fluid viscosity,Fluid velocity,Fluid thermal conductivity,C,Medium
90,What does the Prandtl number signify in fluid dynamics?,Ratio of momentum diffusivity to thermal diffusivity,Ratio of viscous forces to inertial forces,Ratio of thermal conductivity to dynamic viscosity,Ratio of gravitational to viscous forces,C,Medium
91,Which equation describes the relationship between pressure and volume in fluid mechanics?,Boyle's Law,Charles' Law,Dalton's Law,Gay-Lussac's Law,A,Medium
92,What phenomenon does the Nusselt number describe in convective heat transfer?,Conduction resistance,Convection resistance,Radiation resistance,Heat transfer coefficient,D,Medium
93,Which equation governs the convective heat transfer between a fluid and a solid surface?,Fourier's Law,Newton's Law of Cooling,Ohm's Law,Fick's First Law,B,Medium
94,What parameter does the Lewis number characterize in mass transfer?,Rate of mass transfer,Thermal diffusivity to mass diffusivity ratio,Diffusivity of the solute,Diffusivity of the solvent,B,Medium
95,Which equation governs the motion of particles suspended in a fluid under gravity?,Archimedes' Principle,Newton's Second Law,Stokes' Law,Darcy's Law,C,Medium
96,What does the Sherwood number represent in mass transfer?,Ratio of convective to diffusive mass transfer,Ratio of viscous forces to inertial forces,Ratio of thermal conductivity to dynamic viscosity,Ratio of gravitational to viscous forces,A,Medium
97,Which equation describes the relationship between fluid velocity and pressure gradient in a pipe?,Poiseuille's Law,Darcy's Law,Hagen-Poiseuille Equation,Navier-Stokes Equation,D,Medium
98,What is the primary factor affecting the Stanton number in convective heat transfer?,Fluid density,Fluid velocity,Fluid temperature,Heat transfer coefficient,D,Medium
99,Which equation represents the rate of heat transfer through a solid material?,Fourier's Law,Newton's Law of Cooling,Ohm's Law,Fick's First Law,A,Medium
100,What parameter does the Schmidt number characterize in mass transfer?,Rate of mass transfer,Thermal diffusivity to mass diffusivity ratio,Diffusivity of the solute,Diffusivity of the solvent,B,Medium
101,Which equation describes the non-linear relationship between velocity and pressure gradient in fluid flow?,Navier-Stokes Equation,Hagen-Poiseuille Equation,Reynolds Transport Theorem,Darcy's Law,A,Hard
102,What phenomenon does the Prandtl number signify in fluid dynamics?,Transition from laminar to turbulent flow,Ratio of thermal diffusivity to momentum diffusivity,Effect of temperature on viscosity,Relationship between pressure and velocity,B,Hard
103,Which equation describes the convective heat transfer between two fluids with different properties?,Nusselt's Equation,Fourier's Law,Darcy's Law,Fick's Second Law,A,Hard
104,What is the primary factor affecting the Grashof number in natural convection?,Thermal conductivity,Viscosity,Density,Surface area,C,Hard
105,Which equation governs the non-linear behavior of fluid flow near a solid boundary?,Stokes' Law,Hagen-Poiseuille Equation,Blasius Equation,Navier-Stokes Equation,C,Hard
106,What phenomenon does the Sherwood number represent in mass transfer?,Rate of mass transfer,Ratio of convective to diffusive mass transfer,Ratio of thermal conductivity to dynamic viscosity,Ratio of gravitational to viscous forces,B,Hard
107,Which equation describes the convective heat transfer coefficient for laminar flow over a flat plate?,Stanton's Equation,Prandtl's Equation,Colburn's Equation,Churchill's Equation,D,Hard
108,What parameter does the Schmidt number characterize in mass transfer?,Rate of mass transfer,Thermal diffusivity to mass diffusivity ratio,Diffusivity of the solute,Diffusivity of the solvent,B,Hard
109,Which equation governs the behavior of fluid flow in porous media with variable porosity?,Forchheimer's Equation,Brinkman Equation,Ergun Equation,Kozeny-Carman Equation,B,Hard
110,What is the primary factor affecting the Stanton number in convective heat transfer?,Fluid density,Fluid velocity,Fluid temperature,Heat transfer coefficient,D,Hard
111,Which equation describes the non-linear relationship between velocity and pressure gradient in fluid flow?,Navier-Stokes Equation,Hagen-Poiseuille Equation,Reynolds Transport Theorem,Darcy's Law,A,Hard
112,What phenomenon does the Prandtl number signify in fluid dynamics?,Transition from laminar to turbulent flow,Ratio of thermal diffusivity to momentum diffusivity,Effect of temperature on viscosity,Relationship between pressure and velocity,B,Hard
113,Which equation describes the convective heat transfer between two fluids with different properties?,Nusselt's Equation,Fourier's Law,Darcy's Law,Fick's Second Law,A,Hard
114,What is the primary factor affecting the Grashof number in natural convection?,Thermal conductivity,Viscosity,Density,Surface area,C,Hard
115,Which equation governs the non-linear behavior of fluid flow near a solid boundary?,Stokes' Law,Hagen-Poiseuille Equation,Blasius Equation,Navier-Stokes Equation,C,Hard
116,What phenomenon does the Sherwood number represent in mass transfer?,Rate of mass transfer,Ratio of convective to diffusive mass transfer,Ratio of thermal conductivity to dynamic viscosity,Ratio of gravitational to viscous forces,B,Hard
117,Which equation describes the convective heat transfer coefficient for laminar flow over a flat plate?,Stanton's Equation,Prandtl's Equation,Colburn's Equation,Churchill's Equation,D,Hard
118,What parameter does the Schmidt number characterize in mass transfer?,Rate of mass transfer,Thermal diffusivity to mass diffusivity ratio,Diffusivity of the solute,Diffusivity of the solvent,B,Hard
119,Which equation governs the behavior of fluid flow in porous media with variable porosity?,Forchheimer's Equation,Brinkman Equation,Ergun Equation,Kozeny-Carman Equation,B,Hard
120,What is the primary factor affecting the Stanton number in convective heat transfer?,Fluid density,Fluid velocity,Fluid temperature,Heat transfer coefficient,D,Hard
121,Which equation describes the flow of a non-Newtonian fluid?,Hagen-Poiseuille Equation,Bingham Plastic Model,Navier-Stokes Equation,Reynolds Transport Theorem,B,Hard
122,Which equation describes the flow of a non-Newtonian fluid?,Hagen-Poiseuille Equation,Bingham Plastic Model,Navier-Stokes Equation,Reynolds Transport Theorem,B,Hard
123,What phenomenon does the Peclet number characterize in transport phenomena?,Ratio of convective to diffusive transport,Ratio of viscous forces to inertial forces,Ratio of thermal conductivity to diffusivity,Ratio of gravitational to viscous forces,A,Hard
124,Which equation describes the convective mass transfer in laminar flow conditions?,Nusselt's Equation,Sherwood's Equation,Fourier's Law,Fick's Second Law,B,Hard
125,What is the primary factor affecting the Schmidt number in mass transfer?,Diffusivity of the solute,Density of the fluid,Viscosity of the fluid,Temperature gradient,A,Hard
126,Which equation governs the flow of fluid through porous media under non-linear conditions?,Ergun Equation,Forchheimer's Equation,Kozeny-Carman Equation,Brinkman Equation,B,Hard
127,What phenomenon does the Grashof number characterize in natural convection?,The rate of heat transfer in free convection,The ratio of buoyancy to viscous forces,The effect of temperature gradient on fluid flow,The effect of pressure gradient on fluid flow,B,Hard
128,Which equation describes the convective heat transfer for turbulent flow over a flat plate?,Stanton's Equation,Prandtl's Equation,Colburn's Equation,Churchill's Equation,C,Hard
129,What parameter does the Reynolds number characterize in fluid dynamics?,Ratio of viscous forces to inertial forces,Ratio of thermal conductivity to diffusivity,Ratio of gravitational to viscous forces,Ratio of convective to diffusive transport,A,Hard
130,Which equation governs the flow of fluid through a porous medium under non-linear conditions?,Kozeny-Carman Equation,Forchheimer's Equation,Darcy's Law,Brinkman Equation,B,Hard
131,What phenomenon does the Biot number characterize in heat transfer?,Ratio of convective to conductive resistance,Ratio of buoyancy to viscous forces,Effect of temperature gradient on fluid flow,Effect of pressure gradient on fluid flow,A,Hard
132,Which equation describes the transport of energy in a solid material?,Fourier's Law,Newton's Law of Cooling,Fick's First Law,Ohm's Law,A,Hard
133,What is the primary factor affecting the Peclet number in mass transfer?,Diffusivity of the solute,Density of the fluid,Viscosity of the fluid,Temperature gradient,C,Hard
134,Which equation governs the flow of fluid through porous media under non-linear conditions?,Ergun Equation,Forchheimer's Equation,Kozeny-Carman Equation,Brinkman Equation,B,Hard
135,What phenomenon does the Grashof number characterize in natural convection?,The rate of heat transfer in free convection,The ratio of buoyancy to viscous forces,The effect of temperature gradient on fluid flow,The effect of pressure gradient on fluid flow,B,Hard
136,Which equation describes the convective heat transfer for turbulent flow over a flat plate?,Stanton's Equation,Prandtl's Equation,Colburn's Equation,Churchill's Equation,C,Hard
137,What parameter does the Reynolds number characterize in fluid dynamics?,Ratio of viscous forces to inertial forces,Ratio of thermal conductivity to diffusivity,Ratio of gravitational to viscous forces,Ratio of convective to diffusive transport,A,Hard
138,Which equation governs the flow of fluid through a porous medium under non-linear conditions?,Kozeny-Carman Equation,Forchheimer's Equation,Darcy's Law,Brinkman Equation,B,Hard
139,What phenomenon does the Biot number characterize in heat transfer?,Ratio of convective to conductive resistance,Ratio of buoyancy to viscous forces,Effect of temperature gradient on fluid flow,Effect of pressure gradient on fluid flow,A,Hard
140,Which equation describes the transport of energy in a solid material?,Fourier's Law,Newton's Law of Cooling,Fick's First Law,Ohm's Law,A,Hard
141,What is the primary factor affecting the Peclet number in mass transfer?,Diffusivity of the solute,Density of the fluid,Viscosity of the fluid,Temperature gradient,C,Hard
142,Which equation governs the flow of fluid through porous media under non-linear conditions?,Ergun Equation,Forchheimer's Equation,Kozeny-Carman Equation,Brinkman Equation,B,Hard
143,What phenomenon does the Grashof number characterize in natural convection?,The rate of heat transfer in free convection,The ratio of buoyancy to viscous forces,The effect of temperature gradient on fluid flow,The effect of pressure gradient on fluid flow,B,Hard
144,Which equation describes the convective heat transfer for turbulent flow over a flat plate?,Stanton's Equation,Prandtl's Equation,Colburn's Equation,Churchill's Equation,C,Hard
145,What parameter does the Reynolds number characterize in fluid dynamics?,Ratio of viscous forces to inertial forces,Ratio of thermal conductivity to diffusivity,Ratio of gravitational to viscous forces,Ratio of convective to diffusive transport,A,Hard
146,Which equation governs the flow of fluid through a porous medium under non-linear conditions?,Kozeny-Carman Equation,Forchheimer's Equation,Darcy's Law,Brinkman Equation,B,Hard
147,What phenomenon does the Biot number characterize in heat transfer?,Ratio of convective to conductive resistance,Ratio of buoyancy to viscous forces,Effect of temperature gradient on fluid flow,Effect of pressure gradient on fluid flow,A,Hard
148,Which equation describes the transport of energy in a solid material?,Fourier's Law,Newton's Law of Cooling,Fick's First Law,Ohm's Law,A,Hard
149,What is the primary factor affecting the Peclet number in mass transfer?,Diffusivity of the solute,Density of the fluid,Viscosity of the fluid,Temperature gradient,C,Hard
150,Which equation governs the flow of fluid through porous media under non-linear conditions?,Ergun Equation,Forchheimer's Equation,Kozeny-Carman Equation,Brinkman Equation,B,Hard
