id,question,a ,b,c,d ,answer,level
94,"Which imaging modality is commonly used for evaluating conditions of the brain, such as tumors or hemorrhages?",X-ray,MRI,CT scan,PET scan,b,medium
95,What is the term for the ratio of the intensity of light emitted by a phosphor to the intensity of X-rays striking the phosphor?,Sensitivity,Signal-to-noise ratio,Contrast resolution,Conversion efficiency,d,medium
96,Which imaging technique is commonly used for visualizing blood vessels and detecting blockages or aneurysms?,MRI angiography,Ultrasound,CT angiography,PET scan,c,medium
97,What is the primary disadvantage of using X-ray imaging?,It exposes patients to ionizing radiation,It produces low-resolution images,It is expensive,It requires a long scanning time,a,medium
98,Which imaging modality is often used for guiding needle biopsies and other minimally invasive procedures?,X-ray fluoroscopy,MRI,Ultrasound,PET scan,a,medium
99,,,,,,,
100,"Which imaging modality is commonly used for evaluating conditions of the musculoskeletal system, such as fractures or joint abnormalities?",MRI,Ultrasound,X-ray,CT scan,c,medium
101,What is the term for the ability of an imaging technique to distinguish between different types of tissue based on their densities?,Sensitivity,Specificity,Contrast resolution,Temporal resolution,c,medium
102,Which imaging modality is often used for monitoring the function of organs such as the thyroid or kidneys?,X-ray,MRI,Nuclear medicine imaging,Ultrasound,c,medium
103,"Which imaging modality is often used for evaluating conditions of the gastrointestinal tract, such as Crohn's disease, using a specialized endoscope?",MRI,Endoscopic ultrasound,Fluoroscopy,CT scan,b,hard
104,What is the term for the process of using high-energy X-rays to destroy cancer cells?,Radiography,Radiotherapy,Fluoroscopy,Tomography,b,hard
105,Which imaging modality is commonly used for visualizing blood flow in the heart and detecting abnormalities such as stenosis or regurgitation?,MRI,Echocardiography,CT angiography,Nuclear medicine imaging,b,hard
106,What is the term for the phenomenon where a contrast agent leaks out of blood vessels and accumulates in surrounding tissues?,Contrast extravasation,Contrast migration,Contrast nephropathy,Contrast enhancement,a,hard
107,Which imaging technique is commonly used for visualizing the internal structure of bones and detecting fractures or bone tumors?,X-ray,MRI,Ultrasound,PET scan,a,hard
108,"What is the term for the ability of an imaging technique to differentiate between tissues with similar densities, such as distinguishing between gray and white matter in the brain?",Contrast resolution,Spatial resolution,Temporal resolution,Sensitivity,a,hard
109,"Which imaging modality uses a combination of X-rays and computer algorithms to produce detailed, cross-sectional images of the body?",MRI,Ultrasound,PET scan,CT scan,d,hard
110,What is the term for the process of using ultrasound waves to break up kidney stones into smaller fragments that can be passed out of the body?,Lithotripsy,Angioplasty,Tomography,Myelography,a,hard
111,"Which imaging modality is commonly used for detecting and staging cancers, particularly in the breast, lung, and prostate?",MRI,PET scan,CT scan,Nuclear medicine imaging,b,hard
112,What is the term for the technique used to visualize blood vessels by injecting a contrast agent directly into the vessels?,Fluoroscopy,Angiography,Tomography,SPECT imaging,b,hard
113,"Which imaging modality is often used for evaluating conditions of the liver, such as cirrhosis or liver tumors?",X-ray,MRI,Ultrasound,CT scan,d,hard
114,What is the term for the process of using radioactive tracers to diagnose medical conditions by measuring their distribution in the body?,Radiotherapy,Radiography,Nuclear medicine imaging,Mammography,c,hard
115,"Which imaging technique is commonly used for evaluating conditions of the nervous system, such as brain tumors or spinal cord injuries?",MRI,PET scan,X-ray,Fluoroscopy,a,hard
116,What is the term for the distortion of an image caused by variations in the speed of sound through different tissues?,Beam hardening,Slice thickness,Refraction artifact,Attenuation artifact,c,hard
117,Which imaging modality is often used for guiding needle biopsies and other minimally invasive procedures in real-time?,MRI,X-ray fluoroscopy,PET scan,SPECT imaging,b,hard
118,What is the term for the phenomenon where air bubbles form in the bloodstream due to rapid changes in pressure during medical procedures?,Embolism,Thrombosis,Cavitation,Hemorrhage,c,hard
119,"Which imaging modality is commonly used for evaluating conditions of the kidneys and urinary system, such as renal cysts or kidney stones?",MRI,PET scan,Ultrasound,CT scan,d,hard
120,What is the term for the technique used to visualize blood vessels by injecting a contrast agent into the bloodstream and then capturing X-ray images?,MRI angiography,CT angiography,Digital subtraction angiography,Doppler ultrasound,c,hard
121,"Which imaging modality is often used for evaluating conditions of the lungs, such as pulmonary embolism or lung cancer?",X-ray,MRI,Ultrasound,CT scan,d,hard
122,What is the term for the process of using a computer to reconstruct images from multiple X-ray projections acquired at different angles?,Tomography,Computed radiography,Fluoroscopy,Image fusion,a,hard
123,"Which imaging technique is commonly used for evaluating conditions of the gastrointestinal tract, such as inflammatory bowel disease or colorectal polyp?",MRI,Ultrasound,CT colonography,Barium swallow,c,hard
124,"What is the term for the process of using focused ultrasound waves to heat and destroy abnormal tissue, such as tumors?",Ultrasound lithotripsy,Ultrasound ablation,Ultrasound angioplasty,Ultrasound thrombolysis,b,hard
125,"Which imaging modality is often used for evaluating conditions of the reproductive system, such as ovarian cysts or testicular tumors?",MRI,X-ray,Ultrasound,PET scan,c,hard
126,What is the term for the process of using a contrast agent to enhance the visibility of blood vessels in MRI scans?,Magnetic resonance angiography,Magnetic resonance imaging,Magnetic resonance spectroscopy,Magnetic resonance elastography,a,hard
127,"Which imaging modality is commonly used for evaluating conditions of the spine, such as herniated discs or spinal stenosis?",MRI,X-ray,CT scan,Ultrasound,a,hard
128,What is the term for the phenomenon where an imaging technique produces false signals or artifacts due to patient movement during the scan?,Motion artifact,Beam hardening,Attenuation artifact,Scatter artifact,a,hard
129,"Which imaging modality is often used for evaluating conditions of the joints, such as arthritis or ligament tears?",X-ray,MRI,Ultrasound,CT scan,b,hard
130,What is the term for the process of using a contrast agent to enhance the visibility of blood vessels in X-ray angiography?,Fluoroscopy,Digital subtraction angiography,Computed radiography,Barium swallow,b,hard
131,"Which imaging modality is commonly used for evaluating conditions of the eyes and orbits, such as retinal detachment or orbital tumors?",MRI,Ultrasound,X-ray,CT scan,a,hard
132,What is the term for the technique used to visualize blood vessels by injecting a contrast agent into the bloodstream and then capturing X-ray images in real-time?,Magnetic resonance angiography,Digital subtraction angiography,CT angiography,Fluoroscopy,d,hard
133,"Which imaging modality is commonly used for evaluating conditions of the thyroid gland, such as thyroid nodules or thyroid cancer?",MRI,X-ray,Ultrasound,PET scan,c,hard
134,What is the term for the phenomenon where a contrast agent leaks out of blood vessels and accumulates in surrounding tissues?,Contrast extravasation,Contrast migration,Contrast nephropathy,Contrast enhancement,a,hard
135,"Which imaging technique is commonly used for detecting abnormalities in breast tissue, such as tumors, particularly in women with dense breast tissue?",MRI,Mammography,Ultrasound,PET scan,b,hard
136,What is the term for the process of using high-energy X-rays to destroy cancer cells while minimizing damage to surrounding healthy tissue?,Radiotherapy,Radiography,Fluoroscopy,Tomotherapy,a,hard
137,"Which imaging modality is often used for evaluating conditions of the gastrointestinal tract, such as Crohn's disease, using a specialized endoscope?",MRI,Endoscopic ultrasound,Fluoroscopy,CT scan,b,hard
138,What is the term for the process of using ultrasound waves to break up kidney stones into smaller fragments that can be passed out of the body?,Lithotripsy,Angioplasty,Tomography,Myelography,a,hard
139,"Which imaging modality is commonly used for evaluating conditions of the cardiovascular system, such as heart disease and structural abnormalities?",X-ray,MRI,Echocardiography,CT scan,c,hard
140,What is the term for the technique used to visualize blood vessels by injecting a contrast agent directly into the vessels?,Fluoroscopy,Angiography,Tomography,SPECT imaging,b,hard
141,"Which imaging modality is often used for evaluating conditions of the lungs, such as pulmonary embolism or lung cancer, particularly in patients who cannot undergo CT scanning?",MRI,X-ray,Ultrasound,PET scan,b,hard
142,What is the term for the process of using a contrast agent to enhance the visibility of blood vessels in MRI scans?,Magnetic resonance angiography,Magnetic resonance imaging,Magnetic resonance spectroscopy,Magnetic resonance elastography,a,hard
143,Which imaging modality utilizes positron-emitting radioactive tracers to map the metabolic activity of tissues?,MRI,PET scan,CT scan,SPECT imaging,b,hard
144,What is the term for the technique used to visualize blood vessels by injecting a contrast agent directly into the vessels and then capturing X-ray images?,Magnetic resonance angiography,Digital subtraction angiography,CT angiography,Fluoroscopy,b,hard
145,Which imaging modality employs sound waves and Doppler techniques to evaluate blood flow in the body?,MRI,PET scan,Ultrasound,X-ray,c,hard
146,What is the term for the process of using X-ray imaging during surgery to guide the surgeon's actions in real-time?,Intraoperative MRI,Intraoperative CT,Intraoperative ultrasound,Intraoperative fluoroscopy,d,hard
147,Which imaging technique utilizes a combination of X-rays and computer algorithms to create three-dimensional images of internal organs and structures?,MRI,PET scan,CT scan,X-ray fluoroscopy,c,hard
148,"Which imaging modality is commonly used for evaluating conditions of the musculoskeletal system, such as sports injuries or bone fractures, using a specialized MRI scanner?",Functional MRI,Diffusion-weighted MRI,Spectroscopy,MRI arthrography,d,hard
149,What is the term for the process of using a contrast agent to enhance the visibility of blood vessels in MRI scans?,Magnetic resonance angiography,Magnetic resonance imaging,Magnetic resonance spectroscopy,Magnetic resonance elastography,a,hard
150,"Which imaging modality is often used for evaluating conditions of the urinary system, such as kidney stones or renal tumors, using a combination of X-rays and contrast agents?",Intravenous pyelography,Retrograde pyelography,Cystography,Urography,a,hard
151,"What is the term for the technique used to visualize blood vessels by injecting a contrast agent into the bloodstream and then capturing X-ray images in real-time, often used during cardiac catheterization procedures?",Coronary angiography,Cerebral angiography,Peripheral angiography,Abdominal angiography,a,hard
