Qid,Questions,A,B,C,D,Options,Levels
56,Which of the following pollutants is commonly associated with acid rain?,Carbon dioxide (CO2),Sulfur dioxide (SO2),Nitrogen oxides (NOx),Particulate matter (PM),B,Medium
57,What is the primary cause of eutrophication in water bodies?,Industrial wastewater discharges,Agricultural runoff containing fertilizers,Oil spills,Thermal pollution,B,Medium
58,Which of the following is a common method for controlling soil erosion?,Afforestation,Overgrazing,Landfilling,Deforestation,A,Medium
59,What is the main purpose of a constructed wetland in wastewater treatment?,To enhance aeration,To remove heavy metals,To provide habitat for wildlife,To mimic natural filtration processes,D,Medium
60,Which of the following is a renewable energy technology that utilizes the temperature difference between deep and shallow waters?,Tidal energy,Wave energy,Ocean thermal energy conversion (OTEC),Offshore wind energy,C,Medium
61,What is the primary purpose of a stormwater detention basin?,To prevent flooding,To promote groundwater recharge,To remove pollutants from runoff,To provide habitat for aquatic organisms,A,Medium
62,Which of the following pollutants is commonly found in electronic waste?,Lead,Aluminum,Zinc,Copper,A,Medium
63,What is the main cause of soil contamination from heavy metals?,Industrial emissions,Agricultural runoff,Marine oil spills,Deforestation,A,Medium
64,Which of the following is a common method for controlling air pollution from stationary sources?,Electrostatic precipitators,Catalytic converters,Diesel particulate filters,Selective catalytic reduction (SCR),A,Medium
65,What is the primary purpose of a landfill gas collection system?,To increase methane emissions,To promote groundwater recharge,To reduce odors and control landfill gas migration,To accelerate the decomposition of organic waste,C,Medium
66,Which of the following pollutants is commonly associated with indoor air pollution?,Formaldehyde,Carbon dioxide (CO2),Ozone (O3),Nitrogen oxides (NOx),A,Medium
67,What is the main cause of thermal pollution in water bodies?,Industrial discharges,Agricultural runoff,Urban runoff,Marine oil spills,A,Medium
68,Which of the following pollutants is commonly found in plastic waste?,Lead,Mercury,Phthalates,Chromium,C,Medium
69,What is the primary purpose of a sanitary landfill?,To store hazardous waste,To promote groundwater recharge,To dispose of municipal solid waste,To generate electricity,C,Medium
70,Which of the following is a common method for controlling noise pollution?,Sound insulation,Afforestation,Soil erosion control,Odor control,A,Medium
71,What is the primary cause of marine pollution from oil spills?,Industrial discharges,Agricultural runoff,Marine transportation accidents,Urban runoff,C,Medium
72,Which of the following pollutants is commonly associated with urban runoff?,Heavy metals,Nitrogen oxides (NOx),Volatile organic compounds (VOCs),Particulate matter (PM),A,Medium
73,What is the main cause of soil contamination from pesticides?,Industrial emissions,Agricultural runoff,Marine oil spills,Deforestation,B,Medium
74,Which of the following is a common method for treating contaminated groundwater?,Phytoremediation,Soil vapor extraction,Soil erosion control,Landfilling,A,Medium
75,What is the primary purpose of a bioswale?,To prevent soil erosion,To promote groundwater recharge,To remove pollutants from runoff,To provide habitat for wildlife,C,Medium
76,Which of the following pollutants is commonly associated with asbestos?,Lead,Mercury,Chromium,Fibers,D,Medium
77,What is the main cause of groundwater contamination from leaking underground storage tanks?,Heavy metals,Pesticides,Petroleum products,Radionuclides,C,Medium
78,Which of the following is a common method for controlling odor emissions from wastewater treatment plants?,Biological filtration,Chemical oxidation,Adsorption,Incineration,C,Medium
79,What is the primary purpose of a sedimentation basin in water treatment?,To remove suspended solids,To disinfect pathogens,To neutralize acidic wastewater,To increase water acidity,A,Medium
80,Which of the following pollutants is commonly found in electronic waste?,Lead,Aluminum,Zinc,Copper,A,Medium
81,What is the main cause of soil contamination from heavy metals?,Industrial emissions,Agricultural runoff,Marine oil spills,Deforestation,A,Medium
82,Which of the following is a common method for controlling air pollution from stationary sources?,Electrostatic precipitators,Catalytic converters,Diesel particulate filters,Selective catalytic reduction (SCR),A,Medium
83,What is the primary purpose of a landfill gas collection system?,To increase methane emissions,To promote groundwater recharge,To reduce odors and control landfill gas migration,To accelerate the decomposition of organic waste,C,Medium
84,Which of the following pollutants is commonly associated with indoor air pollution?,Formaldehyde,Carbon dioxide (CO2),Ozone (O3),Nitrogen oxides (NOx),A,Medium
85,What is the main cause of thermal pollution in water bodies?,Industrial discharges,Agricultural runoff,Urban runoff,Marine oil spills,A,Medium
86,Which of the following pollutants is commonly found in plastic waste?,Lead,Mercury,Phthalates,Chromium,C,Medium
87,What is the primary purpose of a sanitary landfill?,To store hazardous waste,To promote groundwater recharge,To dispose of municipal solid waste,To generate electricity,C,Medium
88,Which of the following is a common method for controlling noise pollution?,Sound insulation,Afforestation,Soil erosion control,Odor control,A,Medium
89,What is the primary cause of marine pollution from oil spills?,Industrial discharges,Agricultural runoff,Marine transportation accidents,Urban runoff,C,Medium
90,Which of the following pollutants is commonly associated with urban runoff?,Heavy metals,Nitrogen oxides (NOx),Volatile organic compounds (VOCs),Particulate matter (PM),A,Medium
91,What is the primary purpose of a constructed wetland in wastewater treatment?,To enhance aeration,To remove heavy metals,To provide habitat for wildlife,To mimic natural filtration processes,D,Medium
92,Which of the following pollutants is commonly associated with asbestos?,Lead,Mercury,Chromium,Fibers,D,Medium
93,What is the main cause of groundwater contamination from leaking underground storage tanks?,Heavy metals,Pesticides,Petroleum products,Radionuclides,C,Medium
94,What is the primary purpose of a bioswale?,To prevent soil erosion,To promote groundwater recharge,To remove pollutants from runoff,To provide habitat for wildlife,C,Medium
95,Which of the following pollutants is commonly associated with acid mine drainage?,Sulfur dioxide (SO2),Nitrogen oxides (NOx),Heavy metals,Carbon monoxide (CO),C,Medium
96,What is the main cause of soil contamination from pesticides?,Industrial emissions,Agricultural runoff,Marine oil spills,Deforestation,B,Medium
97,Which of the following is a common method for controlling air pollution from mobile sources?,Diesel particulate filters,Catalytic converters,Electrostatic precipitators,Selective catalytic reduction (SCR),A,Medium
98,What is the primary purpose of a wet scrubber in air pollution control?,To increase air pollution,To remove particulate matter and gases from exhaust streams,To promote acid rain,To control noise pollution,B,Medium
99,Which of the following pollutants is commonly found in industrial wastewater?,Phosphates,Heavy metals,Organic compounds,Sediments,B,Medium
100,What is the primary purpose of a sediment basin in construction site management?,To increase soil erosion,To promote groundwater recharge,To prevent sediment runoff into water bodies,To accelerate construction activities,C,Medium
101,What is the primary mechanism responsible for the formation of photochemical smog?,Nitrogen dioxide (NO2) reacting with oxygen (O2),Sulfur dioxide (SO2) reacting with oxygen (O2),Volatile organic compounds (VOCs) reacting with nitrogen oxides (NOx) in the presence of sunlight,Particulate matter (PM) emitted from industrial sources,C,Hard
102,Which of the following is a major greenhouse gas that has a much higher global warming potential than carbon dioxide?,Methane (CH4),Carbon monoxide (CO),Nitrous oxide (N2O),Hydrofluorocarbons (HFCs),D,Hard
103,What is the primary method for remediating contaminated sites with dense non-aqueous phase liquids (DNAPLs)?,Bioremediation,Pump and treat,In situ chemical oxidation,Phytoremediation,C,Hard
104,Which of the following is a common method for treating emerging contaminants such as pharmaceuticals and personal care products in wastewater?,Activated sludge process,Membrane bioreactor,Reverse osmosis,Ozonation,D,Hard
105,What is the primary cause of stratospheric ozone depletion?,Chlorofluorocarbons (CFCs) reacting with ozone (O3),Sulfur dioxide (SO2) emissions,Nitrogen oxide (NOx) emissions,Particulate matter (PM) emissions,A,Hard
106,Which of the following is a common method for managing contaminated sediments in aquatic environments?,Dredging and disposal in landfills,In situ capping,Phytoremediation,Soil washing,B,Hard
107,What is the primary purpose of a landfill liner system?,To accelerate decomposition of waste,To promote leachate collection,To prevent migration of contaminants to groundwater,To provide structural support for waste piles,C,Hard
108,Which of the following pollutants is commonly associated with acid mine drainage?,Arsenic,Mercury,Lead,Sulfuric acid,D,Hard
109,What is the primary mechanism responsible for the formation of harmful algal blooms (HABs) in water bodies?,Industrial discharges,Nutrient runoff from agricultural activities,Oil spills,Thermal pollution,B,Hard
110,Which of the following is a common method for treating contaminated groundwater plumes?,Phytoremediation,In situ bioremediation,Soil vapor extraction,Pump and treat,D,Hard
111,What is the primary method for treating cyanide contamination in industrial wastewater?,Chemical precipitation,Activated carbon adsorption,Advanced oxidation processes,Ion exchange,C,Hard
112,Which of the following is a common method for managing radioactive waste?,Incineration,Disposal in landfills,Deep geological disposal,Composting,C,Hard
113,What is the primary cause of ocean acidification?,Agricultural runoff,Industrial discharges,Carbon dioxide (CO2) absorption by seawater,Marine oil spills,C,Hard
114,Which of the following pollutants is commonly associated with hydraulic fracturing (fracking)?,Methane (CH4),Benzene,Lead,Sulfur dioxide (SO2),B,Hard
115,What is the primary purpose of a riparian buffer zone?,To prevent soil erosion,To promote groundwater recharge,To filter pollutants from runoff,To provide habitat for wildlife,C,Hard
116,Which of the following is a common method for treating contaminated soils?,Soil washing,Soil vapor extraction,Solidification/stabilization,In situ vitrification,A,Hard
117,What is the primary mechanism responsible for the formation of black carbon aerosols?,Combustion of fossil fuels,Industrial emissions,Volcanic eruptions,Deforestation,A,Hard
118,Which of the following pollutants is commonly associated with acid rain?,Sulfur dioxide (SO2),Carbon monoxide (CO),Nitrogen oxides (NOx),Particulate matter (PM),A,Hard
119,What is the primary method for treating contaminated groundwater with chlorinated solvents?,Pump and treat,In situ chemical oxidation,In situ bioremediation,Air stripping,A,Hard
120,Which of the following pollutants is commonly found in electronic waste?,Lead,Mercury,Cadmium,Chromium,C,Hard
121,What is the primary cause of soil contamination from heavy metals?,Industrial emissions,Agricultural runoff,Marine oil spills,Deforestation,A,Hard
122,Which of the following is a common method for controlling air pollution from stationary sources?,Electrostatic precipitators,Catalytic converters,Diesel particulate filters,Selective catalytic reduction (SCR),A,Hard
123,What is the primary purpose of a landfill gas collection system?,To increase methane emissions,To promote groundwater recharge,To reduce odors and control landfill gas migration,To accelerate the decomposition of organic waste,C,Hard
124,Which of the following pollutants is commonly associated with indoor air pollution?,Formaldehyde,Carbon dioxide (CO2),Ozone (O3),Nitrogen oxides (NOx),A,Hard
125,What is the main cause of thermal pollution in water bodies?,Industrial discharges,Agricultural runoff,Urban runoff,Marine oil spills,A,Hard
126,Which of the following pollutants is commonly found in plastic waste?,Lead,Mercury,Phthalates,Chromium,C,Hard
127,What is the primary purpose of a sanitary landfill?,To store hazardous waste,To promote groundwater recharge,To dispose of municipal solid waste,To generate electricity,C,Hard
128,Which of the following is a common method for controlling noise pollution?,Sound insulation,Afforestation,Soil erosion control,Odor control,A,Hard
129,What is the primary cause of marine pollution from oil spills?,Industrial discharges,Agricultural runoff,Marine transportation accidents,Urban runoff,C,Hard
130,Which of the following pollutants is commonly associated with urban runoff?,Heavy metals,Nitrogen oxides (NOx),Volatile organic compounds (VOCs),Particulate matter (PM),A,Hard
131,What is the primary purpose of a constructed wetland in wastewater treatment?,To enhance aeration,To remove heavy metals,To provide habitat for wildlife,To mimic natural filtration processes,D,Hard
132,Which of the following pollutants is commonly associated with asbestos?,Lead,Mercury,Chromium,Fibers,D,Hard
133,What is the main cause of groundwater contamination from leaking underground storage tanks?,Heavy metals,Pesticides,Petroleum products,Radionuclides,C,Hard
134,What is the primary purpose of a bioswale?,To prevent soil erosion,To promote groundwater recharge,To remove pollutants from runoff,To provide habitat for wildlife,C,Hard
135,Which of the following pollutants is commonly associated with acid mine drainage?,Sulfur dioxide (SO2),Nitrogen oxides (NOx),Heavy metals,Carbon monoxide (CO),C,Hard
136,What is the main cause of soil contamination from pesticides?,Industrial emissions,Agricultural runoff,Marine oil spills,Deforestation,B,Hard
137,Which of the following is a common method for controlling air pollution from mobile sources?,Diesel particulate filters,Catalytic converters,Electrostatic precipitators,Selective catalytic reduction (SCR),A,Hard
138,What is the primary purpose of a wet scrubber in air pollution control?,To increase air pollution,To remove particulate matter and gases from exhaust streams,To promote acid rain,To control noise pollution,B,Hard
139,Which of the following pollutants is commonly found in industrial wastewater?,Phosphates,Heavy metals,Organic compounds,Sediments,B,Hard
140,What is the primary purpose of a sediment basin in construction site management?,To increase soil erosion,To promote groundwater recharge,To prevent sediment runoff into water bodies,To accelerate construction activities,C,Hard
141,Which of the following pollutants is commonly associated with landfill gas emissions?,Methane (CH4),Nitrous oxide (N2O),Carbon dioxide (CO2),Hydrogen sulfide (H2S),D,Hard
142,What is the primary mechanism responsible for the formation of acid rain?,Release of sulfur dioxide (SO2) and nitrogen oxides (NOx) into the atmosphere,Combustion of fossil fuels,Deforestation,Industrial emissions,A,Hard
143,Which of the following is a common method for treating contaminated groundwater with chlorinated solvents?,Pump and treat,In situ chemical oxidation,In situ bioremediation,Air stripping,A,Hard
144,What is the primary method for treating cyanide contamination in industrial wastewater?,Chemical precipitation,Activated carbon adsorption,Advanced oxidation processes,Ion exchange,C,Hard
145,Which of the following is a common method for managing radioactive waste?,Incineration,Disposal in landfills,Deep geological disposal,Composting,C,Hard
146,What is the primary cause of ocean acidification?,Agricultural runoff,Industrial discharges,Carbon dioxide (CO2) absorption by seawater,Marine oil spills,C,Hard
147,Which of the following pollutants is commonly associated with hydraulic fracturing (fracking)?,Methane (CH4),Benzene,Lead,Sulfur dioxide (SO2),B,Hard
148,What is the primary purpose of a riparian buffer zone?,To prevent soil erosion,To promote groundwater recharge,To filter pollutants from runoff,To provide habitat for wildlife,C,Hard
149,Which of the following is a common method for treating contaminated soils?,Soil washing,Soil vapor extraction,Solidification/stabilization,In situ vitrification,A,Hard
150,What is the primary mechanism responsible for the formation of black carbon aerosols?,Combustion of fossil fuels,Industrial emissions,Volcanic eruptions,Deforestation,A,Hard
