id,question,a,b,c,d,answer,level
109,What is the purpose of a Holter monitor?,Measure blood pressure,Monitor heart rhythm over an extended period,Measure oxygen saturation,Assess lung function,b,hard
110,Which imaging modality uses gamma rays emitted by a radioactive tracer to produce images of internal organs?,Magnetic Resonance Imaging (MRI),Positron Emission Tomography (PET),Computed Tomography (CT),Ultrasound,b,hard
111,What is the function of a transducer in medical ultrasound?,To convert electrical energy into sound waves,To convert sound waves into electrical signals,To amplify electrical signals,To filter out unwanted frequencies,b,hard
112,Which imaging modality uses X-rays to produce cross-sectional images of the body?,Magnetic Resonance Imaging (MRI),Positron Emission Tomography (PET),Computed Tomography (CT),Ultrasound,c,hard
113,What is the function of a pacemaker in cardiology?,To monitor heart rate,To regulate blood pressure,To maintain normal heart rhythm,To measure cardiac output,c,hard
114,Which instrument is used to measure the pressure within the chambers of the heart?,Echocardiograph,Cardiac catheter,Sphygmomanometer,Spirometer,b,hard
115,What is the purpose of a flow cytometer in laboratory medicine?,To measure blood pressure,To count and analyze cells,To measure oxygen saturation,To assess lung function,b,hard
116,Which imaging modality is used to visualize blood vessels and blood flow in real-time?,Magnetic Resonance Imaging (MRI),Positron Emission Tomography (PET),Computed Tomography Angiography (CTA),Fluoroscopy,c,hard
117,"What does the term ""hemodialysis"" refer to?",A technique for measuring blood pressure,A diagnostic test for kidney function,A treatment for kidney failure,A procedure for measuring blood glucose levels,c,hard
118,Which instrument is used to measure the electrical activity of the heart during physical activity?,Holter monitor,Treadmill stress test,Echocardiogram,Cardiac catheterization,b,hard
119,What is the function of a defibrillator in emergency medicine?,To measure blood pressure,To regulate heart rate,To deliver an electric shock to restore normal heart rhythm,To administer medication,c,hard
120,Which instrument is used to measure the electrical activity of muscles and nerves during diagnostic procedures?,Spirometer,Electromyograph (EMG),Electrocardiograph (ECG),Electroencephalograph (EEG),b,hard
121,What is the purpose of a blood gas analyzer?,To measure blood pressure,To assess oxygen saturation,To analyze the concentration of gases in arterial blood,To measure cardiac output,c,hard
122,Which instrument is used to measure the electrical activity of the brain during surgery or in intensive care units?,Electroencephalograph (EEG),Electromyograph (EMG),Electrocardiograph (ECG),Electroretinograph (ERG),a,hard
123,"What does the term ""oximetry"" refer to?",Measurement of blood pressure,Assessment of lung function,Measurement of oxygen saturation,Assessment of blood glucose levels,c,hard
124,Which imaging modality is used to visualize blood flow in the heart and blood vessels?,Magnetic Resonance Imaging (MRI),Positron Emission Tomography (PET),Computed Tomography Angiography (CTA),Echocardiography,d,hard
125,What is the function of a spirometer?,To measure blood pressure,To monitor oxygen saturation,To assess lung function,To measure cardiac output,c,hard
126,Which instrument is used to measure the concentration of gases in exhaled breath?,Capnograph,Spirometer,Oximeter,Blood gas analyzer,a,hard
127,What is the purpose of a cardiac catheterization?,To measure blood pressure,To assess heart function,To detect lung disease,To visualize blood vessels,d,hard
128,Which instrument is used to measure the electrical activity of the heart during exercise?,Holter monitor,Echocardiograph,Treadmill stress test,Cardiac catheter,c,hard
129,What is the function of a flow cytometer in laboratory medicine?,To measure blood pressure,To count and analyze cells,To measure oxygen saturation,To assess lung function,b,hard
130,Which imaging modality is used to diagnose and monitor diseases such as cancer and heart disease?,Magnetic Resonance Imaging (MRI),Positron Emission Tomography (PET),Computed Tomography (CT),X-ray,b,hard
131,What is the purpose of a Holter monitor?,Measure blood pressure,Monitor heart rhythm over an extended period,Measure oxygen saturation,Assess lung function,b,hard
132,Which instrument is used to measure the electrical activity of the brain with high temporal resolution?,Electroencephalograph (EEG),Magnetoencephalograph (MEG),Electrocardiograph (ECG),Positron Emission Tomography (PET),b,hard
133,What is the function of a microelectrode array in neuroscience research?,Measure blood pressure,Record neural activity from multiple locations simultaneously,Monitor oxygen saturation,Analyze brain waves,b,hard
134,Which imaging modality provides high-resolution images of cellular structures and molecular processes within living organisms?,Optical coherence tomography (OCT),Single-photon emission computed tomography (SPECT),Diffusion tensor imaging (DTI),Fluorescence microscopy,d,hard
135,"What does the term ""spectroscopy"" refer to in biomedical instrumentation?",Measurement of blood pressure,Analysis of tissue morphology,Measurement of absorption or emission of light by molecules,Assessment of lung function,c,hard
136,Which instrument is used to measure the electrical activity of the heart with high spatial resolution?,Electroencephalograph (EEG),Electrocardiograph (ECG),Electroretinograph (ERG),Vectorcardiograph (VCG),d,hard
137,What is the function of a patch clamp electrode in electrophysiology?,Measure blood pressure,Record single-channel ion currents across cell membranes,Monitor oxygen saturation,Analyze brain waves,b,hard
138,Which imaging modality is used to visualize the distribution of radioactive tracers in the body?,Magnetic Resonance Imaging (MRI),Positron Emission Tomography (PET),Computed Tomography (CT),Ultrasonography,b,hard
139,What is the purpose of a gamma camera in nuclear medicine?,Measure blood pressure,Detect and image gamma radiation emitted by radioactive tracers,Monitor oxygen saturation,Analyze brain waves,b,hard
140,Which instrument is used to measure the mechanical properties of biological tissues?,Sphygmomanometer,Viscometer,Tensiometer,Rheometer,d,hard
141,"What does the term ""optogenetics"" refer to in neuroscience research?",Measurement of blood pressure using optical sensors,Study of the optical properties of biological tissues,Use of light to control neural activity in genetically modified organisms,Analysis of brain waves using optical techniques,c,hard
142,Which imaging modality uses sound waves to produce detailed images of blood vessels and soft tissues?,Magnetic Resonance Imaging (MRI),Positron Emission Tomography (PET),Computed Tomography Angiography (CTA),Intravascular Ultrasound (IVUS),d,hard
143,What is the function of a confocal microscope in biological research?,Measure blood pressure,Visualize cellular structures with high spatial resolution,Monitor oxygen saturation,Analyze brain waves,b,hard
144,Which instrument is used to measure the mechanical properties of single cells?,Atomic force microscope (AFM),Scanning electron microscope (SEM),Transmission electron microscope (TEM),Fluorescence microscope,a,hard
145,"What does the term ""cytometry"" refer to in biomedical research?",Measurement of blood pressure,Analysis of cellular properties and functions,Assessment of lung function,Monitoring of oxygen saturation,b,hard
146,Which instrument is used to study the mechanics of biological tissues under physiological conditions?,Oscilloscope,Bioreactor,Spectrophotometer,Cryostat,b,hard
147,What is the purpose of a laser Doppler flowmeter in biomedical research?,Measure blood pressure,Assess blood flow in tissues,Monitor oxygen saturation,Analyze brain waves,b,hard
148,Which imaging modality provides real-time visualization of cellular and subcellular structures?,Magnetic Resonance Imaging (MRI),Positron Emission Tomography (PET),Optical Coherence Tomography (OCT),Fluorescence Resonance Energy Transfer (FRET),c,hard
149,What is the function of a patch clamp electrode in electrophysiology?,Measure blood pressure,Record single-channel ion currents across cell membranes,Monitor oxygen saturation,Analyze brain waves,b,hard
150,Which instrument is used to measure the mechanical properties of biological tissues?,Sphygmomanometer,Viscometer,Tensiometer,Rheometer,d,hard
151,"What does the term ""optogenetics"" refer to in neuroscience research?",Measurement of blood pressure using optical sensors,Study of the optical properties of biological tissues,Use of light to control neural activity in genetically modified organisms,Analysis of brain waves using optical techniques,c,hard
