Qid,Question,A,B,C,D,Answer,Level
20,Which AI technique involves generating new ideas or solutions based on existing knowledge?,Expert Systems,Genetic Algorithms,Neural Networks,Rule-based Systems,B,easy
21,What is the purpose of reinforcement learning?,To predict future outcomes,To classify data,To make decisions based on maximizing rewards,To understand human emotions,C,easy
22,Which of the following is an example of an AI-powered recommendation system?,Netflix suggesting movies based on viewing history,Facebook recognizing friends in photos,Google Maps providing driving directions,Amazon tracking packages in real-time,A,easy
23,"Which AI technique involves mimicking the behavior of ants, bees, or other organisms to solve problems?",Swarm Intelligence,Fuzzy Logic,Evolutionary Algorithms,Simulated Annealing,A,easy
24,Which AI application is used for autonomous vehicles?,Computer Vision,Speech Recognition,Natural Language Processing,Expert Systems,A,easy
25,What is the purpose of a recommendation system in AI?,To detect anomalies in data,To suggest personalized items or content,To translate languages,To recognize speech,B,easy
26,Which AI technique involves reasoning based on uncertainty and imprecision?,Expert Systems,Genetic Algorithms,Fuzzy Logic,Rule-based Systems,C,easy
27,What is the primary purpose of a genetic algorithm?,To optimize solutions through natural selection and evolution,To classify data into categories,To recognize patterns in data,To process natural language,A,easy
28,Which AI application is used for predicting stock prices?,Data Mining,Natural Language Processing,Genetic Algorithms,Machine Learning,D,easy
29,What is the purpose of a rule-based system in AI?,To mimic human expertise in a specific domain,To automate routine tasks,To understand human emotions,To generate creative content,B,easy
30,Which AI technique involves reasoning based on aknowledge base of rules?,Expert Systems,Genetic Algorithms,Fuzzy Logic,Rule-based Systems,D,easy
31,What is the purpose of a decision tree in machine learning?,To classify data into categories,To optimize solutions through natural selection,To mimic human expertise in a specific domain,To recognize speech,A,easy
32,Which AI application is used for detecting fraudulent activities in banking?,Data Mining,Natural Language Processing,Genetic Algorithms,Machine Learning,D,easy
33,What is the purpose of a neural network in AI?,To automate routine tasks,To mimic human expertise in a specific domain,To recognize patterns in data,To understand human emotions,C,easy
34,Which AI technique involves reasoning based on logical rules and facts?,Expert Systems,Genetic Algorithms,Fuzzy Logic,Reinforcement Learning,A,easy
35,What is the purpose of a support vector machine in machine learning?,To classify data into categories,To optimize solutions through natural selection,To mimic human expertise in a specific domain,To recognize speech,A,easy
36,Which AI application is used for predicting customer behavior?,Data Mining,Natural Language Processing,Genetic Algorithms,Machine Learning,D,easy
37,What is the purpose of k-means clustering in AI?,To classify data into categories,To optimize solutions through natural selection,To mimic human expertise in a specific domain,To recognize patterns in data,A,easy
38,Which AI technique involves reasoning based on probabilities and statistics?,Expert Systems,Genetic Algorithms,Fuzzy Logic,Bayesian Networks,D,easy
39,What is the purpose of a Markov decision process in reinforcement learning?,To optimize solutions through natural selection,To classify data into categories,To make decisions in sequential processes,To recognize patterns in data,C,easy
40,Which AI application is used for sentiment analysis on social media?,Data Mining,Natural Language Processing,Genetic Algorithms,Machine Learning,B,easy
41,What is the purpose of dimensionality reduction in machine learning?,To increase the complexity of models,To simplify data without losing significant information,To classify data into categories,To recognize speech,B,easy
42,Which AI technique involves reasoning based on evolutionary principles?,Expert Systems,Genetic Algorithms,Fuzzy Logic,Rule-based Systems,B,easy
43,What is the primary purpose of a recurrent neural network (RNN)?,To automate routine tasks,To recognize patterns in sequential data,To mimic human expertise in a specific domain,To understand human emotions,B,easy
44,Which AI application is used for medical diagnosis?,Data Mining,Natural Language Processing,Genetic Algorithms,Machine Learning,D,easy
45,What is the purpose of a convolutional neural network (CNN) in AI?,To automate routine tasks,To recognize patterns in visual data,To mimic human expertise in a specific domain,To understand human emotions,B,easy
46,Which AI technique involves reasoning based on knowledge represented as graphs?,Expert Systems,Genetic Algorithms,Graphical Models,Rule-based Systems,C,easy
47,What is the purpose of a long short-term memory (LSTM) network in AI?,To automate routine tasks,To recognize patterns in sequential data with long-range dependencies,To mimic human expertise in a specific domain,To understand human emotions,B,easy
48,Which AI application is used for customer service chatbots?,Data Mining,Natural Language Processing,Genetic Algorithms,Machine Learning,B,easy
49,What is the primary purpose of a Markov chain in AI?,To optimize solutions through natural selection,To classify data into categories,To model sequential processes with probabilistic transitions,To recognize patterns in data,C,easy
50,Which AI technique involves reasoning based on symbolic representation and logical inference?,Expert Systems,Genetic Algorithms,Neural Networks,Reinforcement Learning,A,easy
51,Which technique is commonly used to train deep learning models?,Gradient Descent,Decision Trees,K-nearest Neighbors,Naive Bayes,A,medium
52,Which type of neural network architecture is primarily used for image classification tasks?,Convolutional Neural Networks (CNN),Recurrent Neural Networks (RNN),Long Short-Term Memory (LSTM) networks,Autoencoders,A,medium
53,What is the purpose of dropout regularization in neural networks?,To reduce overfitting,To increase model complexity,To speed up training,To improve model interpretability,A,medium
54,Which technique is used to preprocess text data before feeding it into a natural language processing model?,Tokenization,Normalization,Stemming,All of the above,D,medium
55,"What does the term ""backpropagation"" refer to in the context of neural networks?",The process of updating model parameters by computing gradients,The forward pass through the network to make predictions,The process of selecting the best hyperparameters for the model,The process of initializing weights in the network,A,medium
56,Which algorithm is commonly used for training decision trees?,ID3,K-means,Apriori,PageRank,A,medium
57,"In reinforcement learning, what does the term ""exploitation"" refer to?",Trying out new actions to gather more information,Making use of existing knowledge to maximize rewards,Balancing exploration and exploitation,Updating the policy based on rewards received,B,medium
58,Which technique is used for dimensionality reduction in machine learning?,Principal Component Analysis (PCA),K-nearest Neighbors (KNN),Support Vector Machines (SVM),Apriori Algorithm,A,medium
59,"What is the purpose of the ""Sigmoid"" activation function in neural networks?",To introduce non-linearity,To normalize input data,To reduce computational complexity,To regularize the network,A,medium
60,Which technique is used to handle imbalanced datasets in machine learning?,Oversampling,Undersampling,SMOTE (Synthetic Minority Over-sampling Technique),All of the above,D,medium
61,What is the primary advantage of using ensemble learning methods?,They are less computationally intensive,They tend to overfit less than individual models,They are easier to interpret,They are not affected by noise in the data,B,medium
62,Which algorithm is commonly used for clustering tasks?,K-means,Gradient Boosting,Random Forest,AdaBoost,A,medium
63,"What is the purpose of the ""ReLU"" activation function in neural networks?",To introduce non-linearity,To normalize input data,To reduce computational complexity,To regularize the network,A,medium
64,"Which technique is used for sequence generation tasks, such as language modeling?",Recurrent Neural Networks (RNN),Convolutional Neural Networks (CNN),Long Short-Term Memory (LSTM) networks,Autoencoders,C,medium
65,"What does the term ""overfitting"" refer to in machine learning?",When the model performs well on unseen data,When the model performs poorly on training data,When the model memorizes noise in the training data,When the model converges too quickly during training,C,medium
66,Which algorithm is commonly used for text classification tasks?,Naive Bayes,K-means,DBSCAN,Random Forest,A,medium
67,What is the purpose of the term frequency-inverse document frequency (TF-IDF) technique in text processing?,To tokenize text data,To normalize text data,To compute the importance of words in a document,To classify documents into categories,C,medium
68,Which algorithm is commonly used for anomaly detection tasks?,K-nearest Neighbors (KNN),K-means,Isolation Forest,Decision Trees,C,medium
69,"What is the purpose of the ""softmax"" activation function in neural networks?",To introduce non-linearity,To normalize input data,To compute probabilities for each class in multi-class classification problems,To regularize the network,C,medium
70,Which technique is used for hyperparameter tuning in machine learning?,Grid Search,K-means clustering,Naive Bayes,A* search algorithm,A,medium
71,What is the primary disadvantage of using the k-nearest neighbors (KNN) algorithm?,It is sensitive to outliers,It requires the number of clusters to be specified in advance,It is computationally expensive,It cannot handle non-linear decision boundaries,C,medium
72,Which algorithm is commonly used for sentiment analysis in text data?,Logistic Regression,Decision Trees,Support Vector Machines (SVM),Word Embeddings,A,medium
73,What is the purpose of cross-validation in machine learning?,To train the model on multiple subsets of the data,To evaluate the model's performance on unseen data,To handle missing values in the dataset,To normalize the input features,B,medium
74,Which technique is used for feature selection in machine learning?,Principal Component Analysis (PCA),Recursive Feature Elimination (RFE),K-means clustering,Apriori Algorithm,B,medium
75,What is the primary objective of the Apriori algorithm in data mining?,Dimensionality reduction,Clustering similar data points,Association rule learning,Sequence prediction,C,medium
76,Which method is commonly used for handling missing data in machine learning?,Imputation,Outlier detection,Feature scaling,Regularization,A,medium
77,What is the primary purpose of the Expectation-Maximization (EM) algorithm?,To maximize likelihood functions in unsupervised learning,To minimize error functions in supervised learning,To compute similarity between data points,To find optimal hyperparameters for the model,A,medium
78,Which technique is commonly used for feature engineering in machine learning?,K-means clustering,Dimensionality reduction,Data augmentation,Gradient boosting,C,medium
79,"In reinforcement learning, what does the term ""policy"" refer to?",A set of rules for feature engineering,A sequence of actions to maximize rewards,The learned function mapping states to actions,The rate of exploration versus exploitation,C,medium
80,Which technique is used for time series forecasting?,Long Short-Term Memory (LSTM) networks,Support Vector Machines (SVM),K-means clustering,Apriori Algorithm,A,medium
81,What is the primary goal of semi-supervised learning?,To train models with very large amounts of labeled data,To handle both labeled and unlabeled data in training,To improve model interpretability,To reduce computational complexity,B,medium
82,Which method is commonly used for model evaluation in classification tasks?,Accuracy,Mean Squared Error (MSE),R-squared,F1-score,D,medium
83,"What is the purpose of the term ""precision"" in classification evaluation metrics?",It measures the ratio of true positive predictions to the total number of positive examples,It measures the ratio of true negative predictions to the total number of negative examples,It measures the proportion of true positive predictions among all positive predictions,It measures the proportion of true negative predictions among all negative predictions,C,medium
84,Which technique is used for reducing the variance of a model in ensemble learning?,Bagging,Boosting,Stacking,Random Forest,A,medium
85,"What is the purpose of the term ""recall"" in classification evaluation metrics?",It measures the ratio of true positive predictions to the total number of positive examples,It measures the ratio of true negative predictions to the total number of negative examples,It measures the proportion of true positive predictions among all positive predictions,It measures the proportion of true negative predictions among all negative predictions,A,medium
86,Which method is commonly used for model selection in machine learning?,Grid Search,K-means clustering,Apriori Algorithm,A* search algorithm,A,medium
87,"In deep learning, what is the purpose of the term ""batch normalization""?",To speed up training by parallelizing computations,To normalize input data to have zero mean and unit variance,To prevent vanishing gradients during training,To regularize the network by adding noise to the inputs,B,medium
88,Which method is commonly used for handling class imbalance in classification tasks?,Oversampling,Undersampling,Synthetic Minority Over-sampling Technique (SMOTE),All of the above,D,medium
89,"What is the primary objective of the term ""dropout"" in neural networks?",To reduce overfitting by randomly dropping neurons during training,To speed up training by parallelizing computations,To normalize input data to have zero mean and unit variance,To prevent vanishing gradients during training,A,medium
90,Which technique is used for reducing bias in machine learning models?,Cross-validation,Regularization,Ensemble learning,All of the above,D,medium
91,"In reinforcement learning, what does the term ""reward"" signify?",The penalty incurred for incorrect actions,The cost associated with exploration,The measure of success for an agent's action,The rate of convergence during training,C,medium
92,Which method is commonly used for handling categorical variables in machine learning?,One-Hot Encoding,Min-Max Scaling,Standardization,PCA (Principal Component Analysis),A,medium
93,What is the primary purpose of L1 regularization in machine learning?,To penalize large coefficients in the model,To penalize small coefficients in the model,To add noise to the input data,To reduce computational complexity,A,medium
94,Which method is commonly used for text summarization tasks?,Word Embeddings,Term Frequency-Inverse Document Frequency (TF-IDF),Latent Dirichlet Allocation (LDA),Long Short-Term Memory (LSTM) networks,D,medium
95,"In reinforcement learning, what does the term ""exploration"" refer to?",Trying out new actions to gather more information,Making use of existing knowledge to maximize rewards,Balancing exploration and exploitation,Updating the policy based on rewards received,A,medium
96,Which method is commonly used for handling continuous variables in machine learning?,Normalization,One-Hot Encoding,Imputation,K-means Clustering,A,medium
97,"What is the primary purpose of the term ""precision-recall curve"" in classification evaluation?",To visualize the trade-off between true positive rate and false positive rate,To measure the model's performance across different threshold values,To assess the model's accuracy on a test dataset,To identify the optimal number of features for the model,B,medium
98,Which method is commonly used for text classification tasks when dealing with large vocabularies?,Latent Dirichlet Allocation (LDA),Bag-of-Words (BoW),Term Frequency-Inverse Document Frequency (TF-IDF),Word Embeddings,D,medium
99,"What is the primary objective of the term ""grid search"" in machine learning?",To find the optimal hyperparameters for a model,To train multiple models simultaneously,To handle missing data in the dataset,To visualize the decision boundaries of the model,A,medium
100,Which method is commonly used for reducing the computational cost of training deep learning models?,Transfer Learning,Data Augmentation,Dropout Regularization,Gradient Descent,A,medium
101,Which technique is commonly used for training Generative Adversarial Networks (GANs)?,Backpropagation,Reinforcement Learning,Variational Inference,Markov Chain Monte Carlo (MCMC),A,hard
102,"What is the primary purpose of the ""attention mechanism"" in neural networks?",To focus on relevant parts of the input data,To regularize the network,To reduce computational complexity,To prevent overfitting,A,hard
103,Which method is commonly used for training Recurrent Neural Networks (RNNs) to handle long-term dependencies?,Gradient Clipping,L1 Regularization,LSTM (Long Short-Term Memory),Dropout,C,hard
104,"What is the primary objective of the term ""Capsule Networks"" in deep learning?",To improve object recognition by capturing hierarchical relationships,To reduce the number of parameters in the network,To speed up training by parallelizing computations,To handle imbalanced datasets,A,hard
105,Which method is commonly used for generating human-like text with deep learning models?,Gated Recurrent Units (GRUs),Transformer architecture,Convolutional Neural Networks (CNNs),Restricted Boltzmann Machines (RBMs),B,hard
106,What is the primary purpose of Reinforcement Learning with Function Approximation (RLFA)?,To generalize the learned policy across different environments,To handle continuous action spaces in reinforcement learning,To improve the efficiency of value iteration algorithms,To reduce the dimensionality of the state space,A,hard
107,Which technique is commonly used for anomaly detection in time series data?,Hidden Markov Models (HMMs),Autoencoders,Self-Organizing Maps (SOMs),Evolutionary Algorithms,B,hard
108,"What is the primary objective of the term ""neuroevolution"" in AI?",To evolve neural network architectures using genetic algorithms,To optimize hyperparameters of deep learning models,To mimic the behavior of biological neurons in artificial systems,To improve the interpretability of neural network models,A,hard
109,Which method is commonly used for unsupervised learning of hierarchical representations?,Hierarchical Clustering,Variational Autoencoders (VAEs),Deep Belief Networks (DBNs),K-means Clustering,C,hard
110,"What is the primary purpose of the term ""differential privacy"" in machine learning?",To ensure that individual data points cannot be reconstructed from model outputs,To protect sensitive information in the training data from being exposed,To prevent model parameters from leaking information about individual data points,To reduce the computational complexity of training deep learning models,B,hard
111,Which method is commonly used for transfer learning in deep learning?,Fine-tuning pre-trained models,Regularization techniques,Gradient boosting algorithms,Ensemble learning,A,hard
112,"What is the primary objective of ""federated learning"" in distributed systems?",To train machine learning models on centralized servers,To share model updates while keeping data decentralized,To improve model performance through collaborative filtering,To reduce communication overhead in distributed systems,B,hard
113,Which technique is commonly used for learning continuous representations of words in natural language processing?,One-Hot Encoding,Word2Vec,TF-IDF,Bag-of-Words (BoW),B,hard
114,"What is the primary purpose of ""transformer-based models"" in natural language processing?",To generate diverse sequences of text,To capture long-range dependencies in text data,To reduce the dimensionality of word embeddings,To simplify the structure of neural network architectures,B,hard
115,Which method is commonly used for learning representations of nodes in graph-structured data?,Gated Recurrent Units (GRUs),Graph Convolutional Networks (GCNs),Recurrent Neural Networks (RNNs),Long Short-Term Memory (LSTM) networks,B,hard
116,"What is the primary objective of ""multi-task learning"" in machine learning?",To improve model generalization by training on multiple related tasks simultaneously,To reduce the computational complexity of deep learning models,To generate diverse outputs from the same input data,To minimize the risk of overfitting in neural networks,A,hard
117,Which technique is commonly used for generating realistic images with deep learning models?,Variational Autoencoders (VAEs),Generative Adversarial Networks (GANs),Recurrent Neural Networks (RNNs),Long Short-Term Memory (LSTM) networks,B,hard
118,"What is the primary purpose of ""imitation learning"" in reinforcement learning?",To mimic the behavior of human demonstrators,To explore the environment and learn optimal policies,To generalize learned policies to unseen environments,To speed up the convergence of value iteration algorithms,A,hard
119,Which method is commonly used for learning representations of images in computer vision?,Convolutional Neural Networks (CNNs),Recurrent Neural Networks (RNNs),Autoencoders,Decision Trees,A,hard
120,"What is the primary purpose of ""quantum machine learning""?",To apply machine learning algorithms to analyze quantum data,To develop machine learning models that run on quantum computers,To optimize classical machine learning models using quantum algorithms,To simulate complex machine learning models using quantum algorithms,B,hard
121,Which method is commonly used for learning representations of sequential data in an unsupervised manner?,Hidden Markov Models (HMMs),Markov Chain Monte Carlo (MCMC),Restricted Boltzmann Machines (RBMs),Autoencoders,D,hard
122,"What is the primary objective of the ""Monte Carlo Tree Search (MCTS)"" algorithm in reinforcement learning?",To estimate the value of states by averaging over multiple simulations,To perform policy iteration in Markov Decision Processes (MDPs),To reduce the computational complexity of value iteration algorithms,To model sequential decision-making under uncertainty,A,hard
123,Which method is commonly used for learning representations of audio data?,Mel-Frequency Cepstral Coefficients (MFCCs),Bag-of-Words (BoW),Word Embeddings,Principal Component Analysis (PCA),A,hard
124,"What is the primary purpose of ""hierarchical reinforcement learning""?",To learn policies at multiple levels of abstraction,To integrate supervised and unsupervised learning techniques,To parallelize the training of deep reinforcement learning models,To optimize hyperparameters in reinforcement learning algorithms,A,hard
125,Which technique is commonly used for handling non-stationary environments in reinforcement learning?,Experience Replay,Online Gradient Descent,Kalman Filters,Curriculum Learning,D,hard
126,"What is the primary objective of ""Bayesian optimization"" in machine learning?",To estimate the posterior distribution over model parameters,To find the global optimum of an objective function with noisy evaluations,To regularize neural network models by adding noise to the inputs,To speed up the convergence of gradient descent algorithms,B,hard
127,Which method is commonly used for learning representations of sentences or phrases in natural language processing?,Bag-of-Words (BoW),Word Embeddings,Latent Semantic Analysis (LSA),Principal Component Analysis (PCA),B,hard
128,"What is the primary purpose of ""causal inference"" in machine learning?",To identify causal relationships between variables in observational data,To optimize the efficiency of machine learning algorithms,To minimize the computational complexity of training deep learning models,To generate synthetic data for model training,A,hard
129,"Which method is commonly used for learning representations of structured data, such as graphs and networks?",Graph Convolutional Networks (GCNs),Recurrent Neural Networks (RNNs),Long Short-Term Memory (LSTM) networks,Convolutional Neural Networks (CNNs),A,hard
130,"What is the primary purpose of ""natural language understanding"" in artificial intelligence?",To generate human-like responses in conversational agents,To comprehend and interpret human language in context,To translate text from one language to another,To recognize speech and convert it into text,B,hard
131,Which technique is commonly used for learning representations of documents in natural language processing?,Latent Dirichlet Allocation (LDA),Term Frequency-Inverse Document Frequency (TF-IDF),Word2Vec,Autoencoders,A,hard
132,"What is the primary objective of ""meta-learning"" in machine learning?",To learn how to learn by adapting to new tasks or environments,To optimize hyperparameters of machine learning algorithms,To generate synthetic data for model training,To preprocess raw data for downstream tasks,A,hard
133,Which method is commonly used for learning representations of entities and relationships in knowledge graphs?,Graph Neural Networks (GNNs),Word Embeddings,Autoencoders,Naive Bayes,A,hard
134,"What is the primary purpose of ""self-supervised learning"" in machine learning?",To train models with minimal labeled data by leveraging unlabeled data,To automate the process of data labeling using machine learning algorithms,To enhance model interpretability by visualizing feature representations,To optimize model parameters using reinforcement learning techniques,A,hard
135,Which technique is commonly used for learning representations of video data?,Long Short-Term Memory (LSTM) networks,Convolutional Neural Networks (CNNs),Autoencoders,Support Vector Machines (SVMs),A,hard
136,"What is the primary purpose of ""differential evolution"" in evolutionary algorithms?",To optimize the selection process in genetic algorithms,To generate diverse populations of candidate solutions,To mimic the process of natural selection in biological systems,To enhance the efficiency of crossover and mutation operations,B,hard
137,Which method is commonly used for learning representations of time series data in unsupervised learning?,Hidden Markov Models (HMMs),Autoencoders,Gated Recurrent Units (GRUs),Convolutional Neural Networks (CNNs),B,hard
138,"What is the primary purpose of ""domain adaptation"" in machine learning?",To transfer knowledge from one domain to another with different distributions,To regularize the network and prevent overfitting,To generate synthetic data for model training,To preprocess raw data for downstream tasks,A,hard
139,Which method is commonly used for learning representations of music data?,Mel-Frequency Cepstral Coefficients (MFCCs),Recurrent Neural Networks (RNNs),Autoencoders,Wavelet Transform,A,hard
140,"What is the primary purpose of ""neurosymbolic AI""?",To integrate symbolic reasoning with neural networks for more robust AI systems,To optimize hyperparameters in deep learning models,To automate the process of feature engineering in machine learning,To improve the interpretability of neural network models,A,hard
141,Which method is commonly used for learning representations of medical images?,Convolutional Neural Networks (CNNs),Recurrent Neural Networks (RNNs),Autoencoders,Gated Recurrent Units (GRUs),A,hard
142,"What is the primary objective of ""adversarial training"" in deep learning?",To train robust models by exposing them to adversarial examples,To speed up convergence during training by using adversarial loss functions,To generate synthetic data for model training,To regularize the network and prevent overfitting,A,hard
143,Which method is commonly used for learning representations of molecular structures in drug discovery?,Graph Neural Networks (GNNs),Convolutional Neural Networks (CNNs),Recurrent Neural Networks (RNNs),Autoencoders,A,hard
144,"What is the primary purpose of ""variational inference"" in probabilistic modeling?",To estimate the posterior distribution over model parameters,To optimize hyperparameters in machine learning algorithms,To minimize the reconstruction error in autoencoders,To generate diverse outputs from the same input data,A,hard
145,Which method is commonly used for learning representations of 3D shapes in computer vision?,Convolutional Neural Networks (CNNs),Graph Neural Networks (GNNs),Recurrent Neural Networks (RNNs),Variational Autoencoders (VAEs),B,hard
146,"What is the primary objective of ""continuous control"" in reinforcement learning?",To learn policies for discrete action spaces,To optimize the trajectory of a continuous system over time,To estimate the value function of states in an environment,To model the uncertainty in the transition dynamics of an MDP,B,hard
147,Which method is commonly used for learning representations of physical interactions in robotics?,Reinforcement Learning,Imitation Learning,Physics-based Simulations,Markov Decision Processes (MDPs),C,hard
148,"What is the primary purpose of ""quantum supremacy"" in quantum computing?",To demonstrate the superiority of quantum computers over classical computers,To optimize classical machine learning models using quantum algorithms,To simulate quantum systems using classical computers,To achieve universal quantum computation,A,hard
149,Which method is commonly used for learning representations of user preferences in recommender systems?,Collaborative Filtering,Content-Based Filtering,Matrix Factorization,Autoencoders,A,hard
150,"What is the primary objective of ""explainable AI""?",To enhance the interpretability of machine learning models,To automate the process of feature engineering in deep learning,To improve the efficiency of training algorithms,To generate diverse outputs from the same input data,A,hard
