Qid,Questions,A,B,C,D,Options,Level
74,Which of the following is true regarding pulse amplitude modulation (PAM)?,It modulates the amplitude of the carrier signal with a digital bit stream.,It modulates the frequency of the carrier signal with a digital bit stream.,It modulates the phase of the carrier signal with a digital bit stream.,It modulates the width of the carrier signal with a digital bit stream.,A,medium
75,What is the function of a matched filter in communication systems?,To amplify the received signal,To demodulate the received signal,To remove noise from the received signal,To generate carrier signals for modulation,B,medium
76,Which of the following is a characteristic of spread spectrum modulation techniques?,Narrowband transmission,Resistance to jamming and interference,Low data rate,Low power efficiency,B,medium
77,What is the primary advantage of orthogonal frequency division multiplexing (OFDM) in wireless communication?,High power efficiency,Resistance to multipath interference,Low complexity of implementation,Narrow bandwidth requirement,B,medium
78,Which of the following factors affects the propagation delay of signals in a communication system?,Signal frequency,Signal amplitude,Modulation index,Transmission medium,D,medium
79,What is the significance of the modulation index in amplitude modulation (AM)?,It determines the bandwidth of the modulated signal.,It controls the power of the modulated signal.,It represents the ratio of carrier frequency to message frequency.,It indicates the extent of amplitude variation in the modulated signal.,D,medium
80,What is the purpose of frequency hopping spread spectrum (FHSS) in wireless communication?,To increase the bandwidth efficiency of the transmission,To enable multiple users to share the same frequency band,To improve resistance to interference and jamming,To reduce the complexity of modulation and demodulation,C,medium
81,Which of the following is a commonly used technique for analog-to-digital conversion in communication systems?,Delta modulation,Pulse code modulation (PCM),Frequency modulation (FM),Amplitude modulation (AM),B,medium
82,What is the primary function of a phase-locked loop (PLL) in communication systems?,To demodulate frequency-modulated signals,To synchronize the transmitter and receiver frequencies,To amplify the received signal,To generate carrier signals for modulation,B,medium
83,Which of the following techniques is used to mitigate multipath interference in wireless communication?,Diversity reception,Time-division multiplexing,Frequency hopping spread spectrum,Pulse amplitude modulation,A,medium
84,What is the significance of the eye pattern in digital communication?,It represents the constellation diagram of a digital modulation scheme.,It indicates the presence of noise in the received signal.,It provides a visual representation of signal quality and distortion.,It represents the frequency spectrum of a modulated signal.,C,medium
85,Which of the following is true regarding pulse amplitude modulation (PAM)?,It modulates the amplitude of the carrier signal with a digital bit stream.,It modulates the frequency of the carrier signal with a digital bit stream.,It modulates the phase of the carrier signal with a digital bit stream.,It modulates the width of the carrier signal with a digital bit stream.,A,medium
86,What is the function of a matched filter in communication systems?,To amplify the received signal,To demodulate the received signal,To remove noise from the received signal,To generate carrier signals for modulation,B,medium
87,Which of the following is a characteristic of spread spectrum modulation techniques?,Narrowband transmission,Resistance to jamming and interference,Low data rate,Low power efficiency,B,medium
88,What is the primary advantage of orthogonal frequency division multiplexing (OFDM) in wireless communication?,High power efficiency,Resistance to multipath interference,Low complexity of implementation,Narrow bandwidth requirement,B,medium
89,Which of the following factors affects the propagation delay of signals in a communication system?,Signal frequency,Signal amplitude,Modulation index,Transmission medium,D,medium
90,What is the significance of the modulation index in amplitude modulation (AM)?,It determines the bandwidth of the modulated signal.,It controls the power of the modulated signal.,It represents the ratio of carrier frequency to message frequency.,It indicates the extent of amplitude variation in the modulated signal.,D,medium
91,What is the purpose of frequency hopping spread spectrum (FHSS) in wireless communication?,To increase the bandwidth efficiency of the transmission,To enable multiple users to share the same frequency band,To improve resistance to interference and jamming,To reduce the complexity of modulation and demodulation,C,medium
92,Which of the following is a commonly used technique for analog-to-digital conversion in communication systems?,Delta modulation,Pulse code modulation (PCM),Frequency modulation (FM),Amplitude modulation (AM),B,medium
93,What is the primary function of a phase-locked loop (PLL) in communication systems?,To demodulate frequency-modulated signals,To synchronize the transmitter and receiver frequencies,To amplify the received signal,To generate carrier signals for modulation,B,medium
94,Which of the following techniques is used to mitigate multipath interference in wireless communication?,Diversity reception,Time-division multiplexing,Frequency hopping spread spectrum,Pulse amplitude modulation,A,medium
95,What is the significance of the eye pattern in digital communication?,It represents the constellation diagram of a digital modulation scheme.,It indicates the presence of noise in the received signal.,It provides a visual representation of signal quality and distortion.,It represents the frequency spectrum of a modulated signal.,C,medium
96,Which of the following is true regarding pulse amplitude modulation (PAM)?,It modulates the amplitude of the carrier signal with a digital bit stream.,It modulates the frequency of the carrier signal with a digital bit stream.,It modulates the phase of the carrier signal with a digital bit stream.,It modulates the width of the carrier signal with a digital bit stream.,A,medium
97,What is the function of a matched filter in communication systems?,To amplify the received signal,To demodulate the received signal,To remove noise from the received signal,To generate carrier signals for modulation,B,medium
98,Which of the following is a characteristic of spread spectrum modulation techniques?,Narrowband transmission,Resistance to jamming and interference,Low data rate,Low power efficiency,B,medium
99,What is the primary advantage of orthogonal frequency division multiplexing (OFDM) in wireless communication?,High power efficiency,Resistance to multipath interference,Low complexity of implementation,Narrow bandwidth requirement,B,medium
100,Which of the following factors affects the propagation delay of signals in a communication system?,Signal frequency,Signal amplitude,Modulation index,Transmission medium,D,medium
101,What is the primary advantage of turbo codes over traditional error correction codes?,Higher data rates,Lower complexity,Greater error correction capability,Reduced bandwidth requirement,C,hard
102,Which theorem states that any periodic signal can be represented as the sum of sinusoidal waves of different frequencies?,Fourier theorem,Shannon-Hartley theorem,Nyquist theorem,Gauss theorem,A,hard
103,"In digital communication, what is meant by the term ""inter-symbol interference""?",Interference caused by adjacent channels,Interference between consecutive symbols in a signal,Interference due to noise in the transmission medium,Interference between different modulation schemes,B,hard
104,"What is the concept of ""bit error rate"" (BER) in communication systems?",The rate at which bits are transmitted over the channel,The probability of errors occurring in transmitted bits,The speed at which bits are modulated onto the carrier signal,The efficiency of error correction codes used in the system,B,hard
105,Which of the following modulation techniques is commonly used in digital subscriber line (DSL) systems?,Amplitude Modulation (AM),Phase Shift Keying (PSK),Frequency Modulation (FM),Pulse Width Modulation (PWM),B,hard
106,What is the significance of the constellation diagram in digital communication?,It represents the spatial arrangement of antennas in a communication system.,It illustrates the mapping of digital symbols onto analog signals.,It visualizes the phase and amplitude relationships of a modulated signal.,It indicates the frequency spectrum of a transmitted signal.,C,hard
107,What is the primary advantage of trellis-coded modulation (TCM) over conventional modulation techniques?,Higher data rates,Greater resistance to noise,Lower power consumption,Reduced complexity of decoding,B,hard
108,"What is meant by the term ""multiple access interference"" in communication systems?",Interference caused by multiple users sharing the same frequency band,Interference between different modulation schemes,Interference due to reflections and scattering of signals,Interference between adjacent communication channels,A,hard
109,Which theorem provides a fundamental limit on the capacity of a communication channel?,Shannon-Hartley theorem,Nyquist theorem,Fourier theorem,Gauss theorem,A,hard
110,"What is the concept of ""spectral efficiency"" in communication systems?",The ratio of signal power to noise power,The rate at which data can be transmitted over the channel,The ability of a system to utilize bandwidth effectively,The number of users that can access the channel simultaneously,C,hard
111,Which of the following techniques is used to mitigate fading effects in wireless communication?,Space diversity,Time-division multiplexing,Frequency hopping spread spectrum,Pulse code modulation (PCM),A,hard
112,What is the purpose of error floor analysis in digital communication?,To determine the maximum achievable data rate over a communication channel,To evaluate the performance of error correction codes under high signal-to-noise ratios,To identify the presence of residual errors that cannot be corrected by error correction codes,To calculate the probability of bit errors in transmitted data,C,hard
113,Which of the following modulation techniques is commonly used in satellite communication systems?,Amplitude Modulation (AM),Phase Shift Keying (PSK),Frequency Modulation (FM),Orthogonal Frequency Division Multiplexing (OFDM),B,hard
114,What is the purpose of channel coding in communication systems?,To modulate digital signals onto a carrier wave,To convert analog signals to digital signals,To add redundancy to transmitted data for error detection and correction,To amplify the received signal,C,hard
115,Which of the following is a characteristic of wave propagation in ionospheric communication?,Low attenuation,High data rates,Long propagation delays,Low susceptibility to noise,C,hard
116,What is the primary advantage of MIMO (Multiple Input Multiple Output) systems in wireless communication?,Higher data rates,Greater resistance to fading,Lower power consumption,Reduced complexity of implementation,B,hard
117,Which of the following techniques is used to mitigate co-channel interference in wireless communication?,Frequency division multiple access (FDMA),Code division multiple access (CDMA),Time division multiple access (TDMA),Space division multiple access (SDMA),D,hard
118,What is the purpose of pilot signals in communication systems?,To provide reference signals for channel estimation and equalization,To carry user data over the communication channel,To synchronize transmitter and receiver frequencies,To amplify the received signal,A,hard
119,Which of the following modulation techniques is commonly used in digital television broadcasting?,Amplitude Modulation (AM),Phase Shift Keying (PSK),Quadrature Amplitude Modulation (QAM),Orthogonal Frequency Division Multiplexing (OFDM),C,hard
120,What is the primary advantage of turbo codes over traditional error correction codes?,Higher data rates,Lower complexity,Greater error correction capability,Reduced bandwidth requirement,C,hard
121,Which theorem states that any periodic signal can be represented as the sum of sinusoidal waves of different frequencies?,Fourier theorem,Shannon-Hartley theorem,Nyquist theorem,Gauss theorem,A,hard
122,"In digital communication, what is meant by the term ""inter-symbol interference""?",Interference caused by adjacent channels,Interference between consecutive symbols in a signal,Interference due to noise in the transmission medium,Interference between different modulation schemes,B,hard
123,"What is the concept of ""bit error rate"" (BER) in communication systems?",The rate at which bits are transmitted over the channel,The probability of errors occurring in transmitted bits,The speed at which bits are modulated onto the carrier signal,The efficiency of error correction codes used in the system,B,hard
124,Which of the following modulation techniques is commonly used in digital subscriber line (DSL) systems?,Amplitude Modulation (AM),Phase Shift Keying (PSK),Frequency Modulation (FM),Pulse Width Modulation (PWM),B,hard
125,What is the significance of the constellation diagram in digital communication?,It represents the spatial arrangement of antennas in a communication system.,It illustrates the mapping of digital symbols onto analog signals.,It visualizes the phase and amplitude relationships of a modulated signal.,It indicates the frequency spectrum of a transmitted signal.,C,hard
126,What is the primary advantage of trellis-coded modulation (TCM) over conventional modulation techniques?,Higher data rates,Greater resistance to noise,Lower power consumption,Reduced complexity of decoding,B,hard
127,"What is meant by the term ""multiple access interference"" in communication systems?",Interference caused by multiple users sharing the same frequency band,Interference between different modulation schemes,Interference due to reflections and scattering of signals,Interference between adjacent communication channels,A,hard
128,Which theorem provides a fundamental limit on the capacity of a communication channel?,Shannon-Hartley theorem,Nyquist theorem,Fourier theorem,Gauss theorem,A,hard
129,"What is the concept of ""spectral efficiency"" in communication systems?",The ratio of signal power to noise power,The rate at which data can be transmitted over the channel,The ability of a system to utilize bandwidth effectively,The number of users that can access the channel simultaneously,C,hard
130,Which of the following techniques is used to mitigate fading effects in wireless communication?,Space diversity,Time-division multiplexing,Frequency hopping spread spectrum,Pulse code modulation (PCM),A,hard
131,What is the purpose of error floor analysis in digital communication?,To determine the maximum achievable data rate over a communication channel,To evaluate the performance of error correction codes under high signal-to-noise ratios,To identify the presence of residual errors that cannot be corrected by error correction codes,To calculate the probability of bit errors in transmitted data,C,hard
132,Which of the following modulation techniques is commonly used in satellite communication systems?,Amplitude Modulation (AM),Phase Shift Keying (PSK),Frequency Modulation (FM),Orthogonal Frequency Division Multiplexing (OFDM),B,hard
133,What is the purpose of channel coding in communication systems?,To modulate digital signals onto a carrier wave,To convert analog signals to digital signals,To add redundancy to transmitted data for error detection and correction,To amplify the received signal,C,hard
134,Which of the following is a characteristic of wave propagation in ionospheric communication?,Low attenuation,High data rates,Long propagation delays,Low susceptibility to noise,C,hard
135,What is the primary advantage of MIMO (Multiple Input Multiple Output) systems in wireless communication?,Higher data rates,Greater resistance to fading,Lower power consumption,Reduced complexity of implementation,B,hard
136,Which of the following techniques is used to mitigate co-channel interference in wireless communication?,Frequency division multiple access (FDMA),Code division multiple access (CDMA),Time division multiple access (TDMA),Space division multiple access (SDMA),D,hard
137,What is the purpose of pilot signals in communication systems?,To provide reference signals for channel estimation and equalization,To carry user data over the communication channel,To synchronize transmitter and receiver frequencies,To amplify the received signal,A,hard
138,Which of the following modulation techniques is commonly used in digital television broadcasting?,Amplitude Modulation (AM),Phase Shift Keying (PSK),Quadrature Amplitude Modulation (QAM),Orthogonal Frequency Division Multiplexing (OFDM),C,hard
139,What is the primary advantage of turbo codes over traditional error correction codes?,Higher data rates,Lower complexity,Greater error correction capability,Reduced bandwidth requirement,C,hard
140,Which theorem states that any periodic signal can be represented as the sum of sinusoidal waves of different frequencies?,Fourier theorem,Shannon-Hartley theorem,Nyquist theorem,Gauss theorem,A,hard
141,"In digital communication, what is meant by the term ""inter-symbol interference""?",Interference caused by adjacent channels,Interference between consecutive symbols in a signal,Interference due to noise in the transmission medium,Interference between different modulation schemes,B,hard
142,"What is the concept of ""bit error rate"" (BER) in communication systems?",The rate at which bits are transmitted over the channel,The probability of errors occurring in transmitted bits,The speed at which bits are modulated onto the carrier signal,The efficiency of error correction codes used in the system,B,hard
143,Which of the following modulation techniques is commonly used in digital subscriber line (DSL) systems?,Amplitude Modulation (AM),Phase Shift Keying (PSK),Frequency Modulation (FM),Pulse Width Modulation (PWM),B,hard
144,What is the significance of the constellation diagram in digital communication?,It represents the spatial arrangement of antennas in a communication system.,It illustrates the mapping of digital symbols onto analog signals.,It visualizes the phase and amplitude relationships of a modulated signal.,It indicates the frequency spectrum of a transmitted signal.,C,hard
145,What is the primary advantage of trellis-coded modulation (TCM) over conventional modulation techniques?,Higher data rates,Greater resistance to noise,Lower power consumption,Reduced complexity of decoding,B,hard
146,"What is meant by the term ""multiple access interference"" in communication systems?",Interference caused by multiple users sharing the same frequency band,Interference between different modulation schemes,Interference due to reflections and scattering of signals,Interference between adjacent communication channels,A,hard
147,Which theorem provides a fundamental limit on the capacity of a communication channel?,Shannon-Hartley theorem,Ny,Interference due to reflections and scattering of signals,Interference between adjacent communication channels,A,hard
148,Which theorem provides a fundamental limit on the capacity of a communication channel?,Shannon-Hartley theorem,Nyquist theorem,Fourier theorem,Gauss theorem,A,hard
149,"What is the concept of ""spectral efficiency"" in communication systems?",The ratio of signal power to noise power,The rate at which data can be transmitted over the channel,The ability of a system to utilize bandwidth effectively,The number of users that can access the channel simultaneously,C,hard
150,Which of the following techniques is used to mitigate fading effects in wireless communication?,Space diversity,Time-division multiplexing,Frequency hopping spread spectrum,Pulse code modulation (PCM),A,hard
151,What is the purpose of error floor analysis in digital communication?,To determine the maximum achievable data rate over a communication channel,To evaluate the performance of error correction codes under high signal-to-noise ratios,To identify the presence of residual errors that cannot be corrected by error correction codes,To calculate the probability of bit errors in transmitted data,C,hard
